,index,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,GF,GA,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($)
0,0,2017-2018,1,Bayern Munich,38,27.4,66.1,34,27,3,92,28,84,2.47,75.8,31.7,44.1,1.3,75000,"185,051,324"
1,6,2017-2018,2,Schalke 04,29,26.1,46.6,34,18,9,53,37,63,1.85,46.7,40.2,6.6,0.19,61197,"42,474,540"
2,3,2017-2018,5,Leverkusen,27,24.0,54.6,34,15,10,58,44,55,1.62,57.5,38.9,18.6,0.55,28415,"57,923,248"
3,7,2017-2018,3,Hoffenheim,36,25.0,51.2,34,15,10,66,48,55,1.62,50.5,47.2,3.3,0.1,28716,"39,546,630"
4,1,2017-2018,4,Dortmund,33,25.9,59.1,34,15,10,64,47,55,1.62,66.0,42.2,23.8,0.7,79496,"84,471,113"
5,5,2017-2018,6,RB Leipzig,28,23.4,55.0,34,15,8,57,53,53,1.56,51.9,46.7,5.2,0.15,39397,"43,215,431"
6,9,2017-2018,7,Stuttgart,34,25.6,46.6,34,15,6,36,36,51,1.5,40.3,43.5,-3.1,-0.09,56045,"29,831,438"
7,12,2017-2018,8,Eint Frankfurt,36,26.4,47.9,34,14,7,45,45,49,1.44,42.2,41.7,0.5,0.01,49159,"26,256,394"
8,4,2017-2018,9,M'Gladbach,35,25.7,52.0,34,13,8,47,52,47,1.38,51.1,52.0,-0.8,-0.02,50986,"45,530,856"
9,13,2017-2018,10,Hertha BSC,32,26.4,46.1,34,10,13,43,46,43,1.26,39.2,44.3,-5.1,-0.15,45319,"25,994,483"
10,11,2017-2018,11,Werder Bremen,33,26.3,47.4,34,10,12,37,40,42,1.24,38.9,45.1,-6.2,-0.18,38726,"27,785,063"
11,16,2017-2018,12,Augsburg,33,26.6,45.7,34,10,11,43,46,41,1.21,44.7,41.4,3.3,0.1,28238,"16,879,548"
12,14,2017-2018,15,Freiburg,36,24.8,44.8,34,8,12,32,56,36,1.06,39.6,46.1,-6.6,-0.19,23894,"18,401,082"
13,15,2017-2018,14,Mainz 05,33,25.3,44.4,34,9,9,38,52,36,1.06,35.4,47.9,-12.5,-0.37,28766,"18,159,552"
14,2,2017-2018,16,Wolfsburg,33,25.1,49.3,34,6,15,36,48,33,0.97,34.2,52.0,-17.8,-0.52,25712,"59,318,416"
15,8,2017-2018,17,Hamburger SV,34,25.0,49.0,34,8,7,29,53,31,0.91,37.7,55.9,-18.2,-0.54,50656,"34,882,158"
16,10,2017-2018,18,Köln,38,25.3,47.4,34,5,7,35,70,22,0.65,43.2,67.4,-24.1,-0.71,48776,"29,816,147"
17,0,2018-2019,1,Bayern Munich,78,27.4,65.7,34,24,6,88,32,78,2.29,85.6,27.2,58.4,1.72,75000,"197,705,635"
18,1,2018-2019,2,Dortmund,86,24.8,58.1,34,23,7,81,44,76,2.24,61.5,39.9,21.5,0.63,80841,"98,399,310"
19,5,2018-2019,3,RB Leipzig,84,24.0,49.6,34,19,9,63,29,66,1.94,65.7,40.5,25.2,0.74,38380,"55,774,453"
20,4,2018-2019,4,Leverkusen,82,25.3,59.8,34,18,4,69,52,58,1.71,58.3,44.0,14.3,0.42,27990,"63,293,461"
21,3,2018-2019,6,Wolfsburg,98,25.4,53.3,34,16,7,62,50,55,1.62,47.6,48.3,-0.7,-0.02,24479,"66,851,386"
22,6,2018-2019,5,M'Gladbach,92,26.5,53.1,34,16,7,55,42,55,1.62,52.2,52.3,0.0,0.0,49668,"46,224,358"
23,7,2018-2019,7,Eint Frankfurt,116,26.4,47.2,34,15,9,60,48,54,1.59,57.2,50.7,6.6,0.19,49794,"38,810,830"
24,10,2018-2019,8,Werder Bremen,94,27.1,52.1,34,14,11,58,49,53,1.56,49.8,56.1,-6.4,-0.19,41403,"35,825,854"
25,8,2018-2019,9,Hoffenheim,92,25.5,53.8,34,13,12,70,52,51,1.5,75.9,52.5,23.4,0.69,28456,"38,618,219"
26,15,2018-2019,10,Düsseldorf,92,26.9,43.2,34,13,5,49,65,44,1.29,47.1,62.4,-15.3,-0.45,43869,"15,442,091"
27,11,2018-2019,11,Hertha BSC,101,25.9,47.9,34,11,10,49,57,43,1.26,51.0,61.4,-10.5,-0.31,49258,"31,886,479"
28,13,2018-2019,12,Mainz 05,96,24.2,46.1,34,12,7,46,57,43,1.26,51.2,59.2,-8.0,-0.24,26246,"21,854,342"
29,14,2018-2019,13,Freiburg,89,25.8,44.0,34,8,12,46,61,36,1.06,40.9,61.1,-20.2,-0.6,23894,"17,370,250"
30,2,2018-2019,14,Schalke 04,93,25.8,45.4,34,8,9,37,55,33,0.97,45.6,50.1,-4.5,-0.13,60941,"71,311,324"
31,12,2018-2019,15,Augsburg,101,26.5,46.4,34,8,8,51,71,32,0.94,45.3,61.1,-15.8,-0.46,28623,"24,352,183"
32,9,2018-2019,16,Stuttgart,86,26.3,45.9,34,7,7,32,70,28,0.82,38.0,58.2,-20.1,-0.59,54577,"37,052,763"
33,16,2018-2019,18,Nürnberg,85,24.9,42.4,34,3,10,26,68,19,0.56,35.7,52.9,-17.2,-0.51,40372,"11,176,598"
34,0,2019-2020,1,Bayern Munich,76,26.7,65.1,34,26,4,100,32,82,2.41,89.5,37.9,51.6,1.52,57353,"218,212,198"
35,1,2019-2020,2,Dortmund,80,25.8,60.4,34,21,6,84,41,69,2.03,61.0,40.9,20.1,0.59,57297,"108,861,513"
36,2,2019-2020,3,RB Leipzig,102,24.2,55.3,34,18,12,81,37,66,1.94,71.3,38.8,32.6,0.96,28819,"72,091,964"
37,4,2019-2020,4,M'Gladbach,84,26.3,52.4,34,20,5,66,40,65,1.91,72.0,45.9,26.1,0.77,36078,"55,082,988"
38,7,2019-2020,5,Leverkusen,74,26.1,63.2,34,19,6,61,44,63,1.85,59.1,51.2,7.8,0.23,21236,"48,733,923"
39,8,2019-2020,6,Hoffenheim,86,26.0,51.6,34,15,7,53,53,52,1.53,56.1,59.6,-3.4,-0.1,20449,"48,560,670"
40,3,2019-2020,7,Wolfsburg,82,26.0,48.4,34,13,10,48,46,49,1.44,52.8,42.9,9.9,0.29,18621,"68,147,999"
41,16,2019-2020,8,Freiburg,83,26.4,48.1,34,13,9,48,47,48,1.41,46.7,64.6,-17.8,-0.52,16888,"16,917,253"
42,9,2019-2020,9,Eint Frankfurt,94,27.0,50.9,34,13,6,59,60,45,1.32,59.5,49.9,9.6,0.28,35435,"43,893,140"
43,15,2019-2020,11,Union Berlin,96,27.7,41.9,34,12,5,41,58,41,1.21,41.4,54.3,-12.8,-0.38,15467,"21,808,992"
44,5,2019-2020,10,Hertha BSC,97,26.2,44.7,34,11,8,48,59,41,1.21,43.1,54.5,-11.4,-0.34,37689,"51,434,570"
45,6,2019-2020,12,Schalke 04,80,24.6,49.0,34,9,12,38,58,39,1.15,37.8,51.6,-13.8,-0.41,46681,"49,559,403"
46,13,2019-2020,13,Mainz 05,98,24.6,43.2,34,11,4,44,65,37,1.09,48.2,59.6,-11.5,-0.34,20694,"26,751,683"
47,11,2019-2020,14,Köln,87,25.6,46.7,34,10,6,51,69,36,1.06,48.9,53.3,-4.4,-0.13,35094,"39,674,021"
48,12,2019-2020,15,Augsburg,100,26.2,38.6,34,9,9,45,63,36,1.06,43.1,56.6,-13.5,-0.4,20265,"28,412,836"
49,10,2019-2020,16,Werder Bremen,88,26.7,48.8,34,8,7,42,69,31,0.91,39.4,55.4,-16.0,-0.47,26413,"43,353,010"
50,14,2019-2020,17,Düsseldorf,102,27.1,45.6,34,6,12,36,67,30,0.88,35.9,60.7,-24.8,-0.73,30581,"22,369,505"
51,17,2019-2020,18,Paderborn 07,90,25.7,45.9,34,4,8,37,74,20,0.59,39.2,67.3,-28.1,-0.83,11038,"7,143,974"
52,0,2020-2021,1,Bayern Munich,83,27.3,60.7,34,24,6,99,44,78,2.29,75.9,40.2,35.8,1.05,15,"228,861,912"
53,5,2020-2021,2,RB Leipzig,81,25.0,59.7,34,19,8,60,32,65,1.91,64.4,29.4,35.0,1.03,1059,"54,899,548"
54,1,2020-2021,3,Dortmund,85,25.6,59.6,34,20,4,75,46,64,1.88,66.2,41.6,24.6,0.72,1241,"92,056,361"
55,3,2020-2021,4,Wolfsburg,82,25.6,51.1,34,17,10,61,37,61,1.79,49.0,42.1,6.9,0.2,538,"58,975,995"
56,7,2020-2021,5,Eint Frankfurt,91,27.2,53.7,34,16,12,69,53,60,1.76,58.5,46.9,11.6,0.34,853,"48,591,246"
57,4,2020-2021,6,Leverkusen,85,25.4,59.7,34,14,10,53,39,52,1.53,46.3,39.2,7.1,0.21,355,"57,274,076"
58,15,2020-2021,7,Union Berlin,84,27.3,44.9,34,12,14,50,43,50,1.47,46.9,42.8,4.1,0.12,912,"17,630,631"
59,6,2020-2021,8,M'Gladbach,95,26.9,51.7,34,13,10,64,56,49,1.44,54.9,45.7,9.2,0.27,628,"50,425,646"
60,16,2020-2021,10,Freiburg,77,26.2,47.3,34,12,9,52,52,45,1.32,45.5,52.4,-6.9,-0.2,188,"14,746,547"
61,14,2020-2021,9,Stuttgart,97,24.1,51.5,34,12,9,56,55,45,1.32,51.4,52.1,-0.8,-0.02,978,"18,873,948"
62,8,2020-2021,11,Hoffenheim,94,25.7,51.2,34,11,10,52,54,43,1.26,51.9,53.1,-1.2,-0.04,361,"43,689,319"
63,12,2020-2021,12,Mainz 05,90,25.8,40.7,34,10,9,39,56,39,1.15,49.9,52.1,-2.2,-0.06,221,"23,623,009"
64,13,2020-2021,13,Augsburg,79,27.0,41.4,34,10,6,36,54,36,1.06,37.3,57.3,-20.0,-0.59,353,"23,358,043"
65,9,2020-2021,14,Hertha BSC,82,25.4,49.6,34,8,11,41,52,35,1.03,41.9,47.4,-5.6,-0.16,471,"42,130,079"
66,17,2020-2021,15,Arminia,87,26.0,42.3,34,9,8,26,52,35,1.03,32.9,56.8,-23.9,-0.7,321,"9,773,282"
67,10,2020-2021,16,Köln,94,24.9,46.3,34,8,9,34,60,33,0.97,40.5,53.6,-13.0,-0.38,33,"30,542,780"
68,11,2020-2021,17,Werder Bremen,78,26.3,43.9,34,7,10,36,57,31,0.91,32.9,53.2,-20.3,-0.6,518,"30,471,438"
69,2,2020-2021,18,Schalke 04,93,25.9,44.7,34,3,7,25,86,16,0.47,28.7,69.2,-40.5,-1.19,18,"63,714,862"
70,0,2021-2022,1,Bayern Munich,79,26.8,64.5,34,24,5,97,37,77,2.26,89.0,36.3,52.7,1.55,33176,"243,170,244"
