,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Amiens,26,26.5,46.5,38,418,3420,38.0,30,22,52,28,2,3,59,6,35.4,33.0,23.4,56.4,518,1274,0.79,0.58,1.37,0.74,1.32,0.93,0.62,1.55,0.87,1.48
1,Angers,24,28.0,43.3,38,418,3420,38.0,42,27,69,37,5,10,49,4,50.7,42.8,33.5,76.4,700,1320,1.11,0.71,1.82,0.97,1.68,1.33,0.88,2.22,1.13,2.01
2,Bordeaux,33,25.3,50.1,38,418,3420,38.0,34,26,60,29,5,6,74,5,39.7,35.0,29.5,64.5,742,1374,0.89,0.68,1.58,0.76,1.45,1.05,0.78,1.82,0.92,1.7
3,Caen,26,25.8,44.0,38,418,3420,38.0,29,17,46,25,4,4,79,6,31.0,27.9,20.6,48.5,500,1019,0.76,0.45,1.21,0.66,1.11,0.82,0.54,1.36,0.73,1.28
4,Dijon,26,27.1,47.9,38,418,3420,38.0,29,21,50,26,3,4,75,7,39.8,36.6,28.1,64.8,677,1334,0.76,0.55,1.32,0.68,1.24,1.05,0.74,1.79,0.96,1.7
5,Guingamp,30,26.0,44.1,38,418,3420,38.0,28,21,49,23,5,6,58,5,40.4,35.7,28.8,64.5,645,1398,0.74,0.55,1.29,0.61,1.16,1.06,0.76,1.82,0.94,1.7
6,Lille,25,24.1,51.4,38,418,3420,38.0,66,49,115,55,11,13,70,4,59.5,49.3,38.7,87.9,757,1461,1.74,1.29,3.03,1.45,2.74,1.56,1.02,2.58,1.3,2.31
7,Lyon,25,24.4,60.4,38,418,3420,38.0,70,54,124,65,5,10,55,3,73.7,66.1,49.0,115.0,977,2093,1.84,1.42,3.26,1.71,3.13,1.94,1.29,3.23,1.74,3.03
8,Marseille,24,26.9,55.2,38,418,3420,38.0,59,45,104,55,4,5,82,8,52.7,48.9,38.5,87.4,809,1474,1.55,1.18,2.74,1.45,2.63,1.39,1.01,2.4,1.29,2.3
9,Monaco,42,25.6,49.8,38,418,3420,38.0,38,25,63,34,4,5,91,6,47.4,43.5,31.4,74.9,773,1624,1.0,0.66,1.66,0.89,1.55,1.25,0.83,2.07,1.14,1.97
10,Montpellier,25,28.0,48.0,38,418,3420,38.0,50,28,78,47,3,3,60,4,50.1,47.7,35.1,82.8,601,1497,1.32,0.74,2.05,1.24,1.97,1.32,0.92,2.24,1.26,2.18
11,Nantes,33,25.9,50.1,38,418,3420,38.0,46,28,74,40,6,8,72,6,49.1,42.8,30.6,73.3,656,1472,1.21,0.74,1.95,1.05,1.79,1.29,0.8,2.1,1.13,1.93
12,Nice,30,24.2,54.8,38,418,3420,38.0,28,18,46,23,5,9,72,5,46.3,39.2,30.8,70.1,740,1537,0.74,0.47,1.21,0.61,1.08,1.22,0.81,2.03,1.03,1.84
13,Nîmes,23,24.1,45.7,38,418,3420,38.0,55,37,92,51,4,6,69,5,50.0,45.3,34.1,79.4,717,1229,1.45,0.97,2.42,1.34,2.32,1.32,0.9,2.21,1.19,2.09
14,Paris S-G,30,26.2,63.7,38,418,3420,38.0,103,72,175,93,10,12,64,4,88.9,79.5,63.1,142.6,993,2207,2.71,1.89,4.61,2.45,4.34,2.34,1.66,4.0,2.09,3.75
15,Reims,27,26.2,43.6,38,418,3420,38.0,39,27,66,37,2,2,67,2,38.1,36.5,27.7,64.1,593,1262,1.03,0.71,1.74,0.97,1.68,1.0,0.73,1.73,0.96,1.69
16,Rennes,28,25.7,50.6,38,418,3420,38.0,52,34,86,45,7,10,68,3,55.6,47.8,34.4,82.1,884,1522,1.37,0.89,2.26,1.18,2.08,1.46,0.9,2.37,1.26,2.16
17,Saint-Étienne,29,27.8,52.5,38,418,3420,38.0,56,40,96,51,5,5,63,7,56.7,52.7,39.2,91.9,753,1543,1.47,1.05,2.53,1.34,2.39,1.49,1.03,2.52,1.39,2.42
18,Strasbourg,26,26.2,50.1,38,418,3420,38.0,57,43,100,52,5,7,70,4,41.3,35.8,28.1,63.9,683,1460,1.5,1.13,2.63,1.37,2.5,1.09,0.74,1.83,0.94,1.68
19,Toulouse,29,25.5,48.2,38,418,3420,38.0,35,16,51,28,7,11,75,5,45.7,37.1,29.3,66.4,684,1465,0.92,0.42,1.34,0.74,1.16,1.2,0.77,1.97,0.98,1.75
