,Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
0,1,Paris S-G,35,"€ 3,895,462 (£ 3,266,377, $3,969,910)","€ 202,564,000 (£ 169,851,608, $206,435,344)",100%
1,2,Monaco,38,"€ 1,314,423 (£ 1,102,155, $1,339,544)","€ 68,350,000 (£ 57,312,046, $69,656,287)",100%
2,3,Marseille,29,"€ 1,005,423 (£ 843,056, $1,024,638)","€ 52,282,000 (£ 43,838,893, $53,281,198)",100%
3,4,Lyon,34,"€ 712,942 (£ 597,808, $726,568)","€ 37,073,000 (£ 31,086,023, $37,781,525)",100%
4,5,Lille,32,"€ 520,846 (£ 436,734, $530,800)","€ 27,084,000 (£ 22,710,158, $27,601,617)",100%
5,6,Nice,39,"€ 419,423 (£ 351,690, $427,439)","€ 21,810,000 (£ 18,287,868, $22,226,825)",100%
6,7,Saint-Étienne,40,"€ 393,846 (£ 330,243, $401,373)","€ 20,480,000 (£ 17,172,650, $20,871,408)",100%
7,8,Bordeaux,37,"€ 376,981 (£ 316,101, $384,185)","€ 19,603,000 (£ 16,437,274, $19,977,645)",100%
8,9,Toulouse,28,"€ 360,442 (£ 302,234, $367,331)","€ 18,743,000 (£ 15,716,163, $19,101,212)",100%
9,10,Nantes,36,"€ 284,250 (£ 238,346, $289,683)","€ 14,781,000 (£ 12,393,992, $15,063,490)",100%
10,11,Rennes,35,"€ 272,212 (£ 228,252, $277,414)","€ 14,155,000 (£ 11,869,086, $14,425,526)",100%
11,12,Metz,44,"€ 253,885 (£ 212,884, $258,737)","€ 13,202,000 (£ 11,069,988, $13,454,314)",100%
12,13,Amiens,34,"€ 237,115 (£ 198,823, $241,647)","€ 12,330,000 (£ 10,338,805, $12,565,645)",100%
13,14,Montpellier,30,"€ 230,885 (£ 193,599, $235,297)","€ 12,006,000 (£ 10,067,131, $12,235,453)",100%
14,15,Dijon,35,"€ 211,635 (£ 177,457, $215,679)","€ 11,005,000 (£ 9,227,786, $11,215,324)",100%
15,16,Strasbourg,31,"€ 207,769 (£ 174,216, $211,740)","€ 10,804,000 (£ 9,059,242, $11,010,479)",100%
16,17,Caen,33,"€ 201,135 (£ 168,653, $204,979)","€ 10,459,000 (£ 8,769,954, $10,658,893)",100%
17,18,Angers,33,"€ 194,808 (£ 163,348, $198,531)","€ 10,130,000 (£ 8,494,086, $10,323,602)",100%
18,19,Guingamp,30,"€ 177,154 (£ 148,545, $180,540)","€ 9,212,000 (£ 7,724,338, $9,388,060)",100%
19,20,Troyes,30,"€ 132,115 (£ 110,780, $134,640)","€ 6,870,000 (£ 5,760,548, $7,001,300)",100%
