,Season,Wk,Date,Time,Home,Away,Home Score,Away Score,xG Home,xG Away,Attendance,Venue,Referee,xG Diff,Actual Diff,League
419,2017-2018,38.0,2018-05-19,21:00,Toulouse,Guingamp,2,1,2.1,0.7,24306.0,Stadium Municipal,Mikael Lesage,1.4000000000000001,1.0,Ligue1
420,2017-2018,38.0,2018-05-19,21:00,Troyes,Monaco,0,3,0.9,2.5,14585.0,Stade de l'Aube,Clément Turpin,-1.6,-3.0,Ligue1
422,2017-2018,,2018-05-23,20:45,Ajaccio,Toulouse,0,3,,,,Stade de la Mosson,,,-3.0,Ligue1
423,2018-2019,1.0,2018-08-10,20:45,Marseille,Toulouse,4,0,3.2,0.3,60756.0,Orange Vélodrome,Ruddy Buquet,2.9000000000000004,4.0,Ligue1
424,2018-2019,1.0,2018-08-11,17:00,Nantes,Monaco,1,3,1.4,2.6,32760.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,-1.2000000000000002,-2.0,Ligue1
425,2018-2019,1.0,2018-08-11,20:00,Montpellier,Dijon,1,2,1.3,2.0,12765.0,Stade de la Mosson,Florent Batta,-0.7,-1.0,Ligue1
426,2018-2019,1.0,2018-08-11,20:00,Nice,Reims,0,1,1.2,0.3,21421.0,Stade de Nice,Johan Hamel,0.8999999999999999,-1.0,Ligue1
427,2018-2019,1.0,2018-08-11,20:00,Saint-Étienne,Guingamp,2,1,0.8,1.6,26006.0,Stade Geoffroy-Guichard,Amaury Delerue,-0.8,1.0,Ligue1
428,2018-2019,1.0,2018-08-11,20:00,Lille,Rennes,3,1,1.7,0.5,25708.0,Stade Pierre-Mauroy,Willy Delajod,1.2,2.0,Ligue1
429,2018-2019,1.0,2018-08-11,20:00,Angers,Nîmes,3,4,2.8,1.5,9534.0,Stade Raymond Kopa,Antony Gautier,1.2999999999999998,-1.0,Ligue1
430,2018-2019,1.0,2018-08-12,15:00,Lyon,Amiens,2,0,1.4,0.4,48263.0,Groupama Stadium,Franck Schneider,0.9999999999999999,2.0,Ligue1
431,2018-2019,1.0,2018-08-12,17:00,Bordeaux,Strasbourg,0,2,0.2,1.5,23079.0,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,-1.3,-2.0,Ligue1
432,2018-2019,1.0,2018-08-12,21:00,Paris S-G,Caen,3,0,3.0,0.2,47289.0,Parc des Princes,Benoît Bastien,2.8,3.0,Ligue1
434,2018-2019,2.0,2018-08-17,20:45,Reims,Lyon,1,0,0.6,1.1,18917.0,Stade Auguste-Delaune II,Ruddy Buquet,-0.5000000000000001,1.0,Ligue1
435,2018-2019,2.0,2018-08-18,17:00,Guingamp,Paris S-G,1,3,1.1,2.6,19003.0,Stade du Roudourou,Clément Turpin,-1.5,-2.0,Ligue1
436,2018-2019,2.0,2018-08-18,20:00,Amiens,Montpellier,1,2,1.2,0.3,10402.0,Stade de la Licorne,Karim Abed,0.8999999999999999,-1.0,Ligue1
437,2018-2019,2.0,2018-08-18,20:00,Rennes,Angers,1,0,0.3,0.4,19300.0,Roazhon Park,Olivier Thual,-0.10000000000000003,1.0,Ligue1
438,2018-2019,2.0,2018-08-18,20:00,Monaco,Lille,0,0,1.4,0.7,11140.0,Stade Louis II.,Thomas Léonard,0.7,0.0,Ligue1
439,2018-2019,2.0,2018-08-18,20:00,Caen,Nice,1,1,1.4,0.9,16132.0,Stade Michel d'Ornano,Eric Wattellier,0.4999999999999999,0.0,Ligue1
440,2018-2019,2.0,2018-08-18,20:00,Dijon,Nantes,2,0,2.9,0.3,13617.0,Stade Gaston Gérard,Jeremy Stinat,2.6,2.0,Ligue1
441,2018-2019,2.0,2018-08-19,15:00,Strasbourg,Saint-Étienne,1,1,0.6,0.4,25385.0,Stade de la Meinau,Benoît Millot,0.19999999999999996,0.0,Ligue1
442,2018-2019,2.0,2018-08-19,17:00,Toulouse,Bordeaux,2,1,1.2,1.1,15387.0,Stadium Municipal,François Letexier,0.09999999999999987,1.0,Ligue1
443,2018-2019,2.0,2018-08-19,21:00,Nîmes,Marseille,3,1,1.4,1.2,15285.0,Stade des Costières,Benoît Bastien,0.19999999999999996,2.0,Ligue1
445,2018-2019,3.0,2018-08-24,20:45,Lyon,Strasbourg,2,0,1.6,0.5,47341.0,Groupama Stadium,Amaury Delerue,1.1,2.0,Ligue1
446,2018-2019,3.0,2018-08-25,17:00,Paris S-G,Angers,3,1,1.8,1.5,47105.0,Parc des Princes,Jérôme Miguelgorry,0.30000000000000004,2.0,Ligue1
447,2018-2019,3.0,2018-08-25,20:00,Amiens,Reims,4,1,1.6,0.9,10709.0,Stade de la Licorne,Florent Batta,0.7000000000000001,3.0,Ligue1
448,2018-2019,3.0,2018-08-25,20:00,Nantes,Caen,1,1,1.8,0.6,19674.0,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,1.2000000000000002,0.0,Ligue1
449,2018-2019,3.0,2018-08-25,20:00,Nice,Dijon,0,4,1.9,1.5,17923.0,Stade de Nice,Willy Delajod,0.3999999999999999,-4.0,Ligue1
450,2018-2019,3.0,2018-08-25,20:00,Toulouse,Nîmes,1,0,2.8,0.6,11746.0,Stadium Municipal,Franck Schneider,2.1999999999999997,1.0,Ligue1
451,2018-2019,3.0,2018-08-25,20:00,Montpellier,Saint-Étienne,0,0,0.7,0.3,14777.0,Stade de la Mosson,Jérôme Brisard,0.39999999999999997,0.0,Ligue1
452,2018-2019,3.0,2018-08-26,15:00,Lille,Guingamp,3,0,2.1,0.7,27230.0,Stade Pierre-Mauroy,Johan Hamel,1.4000000000000001,3.0,Ligue1
453,2018-2019,3.0,2018-08-26,17:00,Bordeaux,Monaco,2,1,2.7,0.8,21607.0,Stade Matmut-Atlantique,Clément Turpin,1.9000000000000001,1.0,Ligue1
454,2018-2019,3.0,2018-08-26,21:00,Marseille,Rennes,2,2,0.9,2.0,53471.0,Orange Vélodrome,Antony Gautier,-1.1,0.0,Ligue1
456,2018-2019,4.0,2018-08-31,20:45,Lyon,Nice,0,1,1.9,0.6,53438.0,Groupama Stadium,François Letexier,1.2999999999999998,-1.0,Ligue1
457,2018-2019,4.0,2018-09-01,17:00,Nîmes,Paris S-G,2,4,1.3,2.2,15311.0,Stade des Costières,Jérôme Brisard,-0.9000000000000001,-2.0,Ligue1
458,2018-2019,4.0,2018-09-01,20:00,Strasbourg,Nantes,2,3,1.4,1.2,25091.0,Stade de la Meinau,Olivier Thual,0.19999999999999996,-1.0,Ligue1
459,2018-2019,4.0,2018-09-01,20:00,Dijon,Caen,0,2,1.0,1.7,13382.0,Stade Gaston Gérard,Nicolas Rainville,-0.7,-2.0,Ligue1
460,2018-2019,4.0,2018-09-01,20:00,Reims,Montpellier,0,1,1.2,0.8,12042.0,Stade Auguste-Delaune II,Jeremy Stinat,0.3999999999999999,-1.0,Ligue1
461,2018-2019,4.0,2018-09-01,20:00,Angers,Lille,1,0,0.7,1.5,9245.0,Stade Raymond Kopa,Eric Wattellier,-0.8,1.0,Ligue1
462,2018-2019,4.0,2018-09-01,20:00,Guingamp,Toulouse,1,2,1.7,1.1,12327.0,Stade du Roudourou,Karim Abed,0.5999999999999999,-1.0,Ligue1
463,2018-2019,4.0,2018-09-02,15:00,Saint-Étienne,Amiens,0,0,1.2,0.4,30146.0,Stade Geoffroy-Guichard,Thomas Léonard,0.7999999999999999,0.0,Ligue1
464,2018-2019,4.0,2018-09-02,17:00,Rennes,Bordeaux,2,0,2.3,0.5,23817.0,Roazhon Park,Benoît Bastien,1.7999999999999998,2.0,Ligue1
465,2018-2019,4.0,2018-09-02,21:00,Monaco,Marseille,2,3,1.4,1.8,14269.0,Stade Louis II.,Benoît Millot,-0.40000000000000013,-1.0,Ligue1
467,2018-2019,5.0,2018-09-14,19:00,Nice,Rennes,2,1,1.4,1.1,16887.0,Stade de Nice,Jérôme Miguelgorry,0.2999999999999998,1.0,Ligue1
468,2018-2019,5.0,2018-09-14,20:45,Paris S-G,Saint-Étienne,4,0,2.5,1.0,46549.0,Parc des Princes,Franck Schneider,1.5,4.0,Ligue1
469,2018-2019,5.0,2018-09-15,17:00,Caen,Lyon,2,2,1.9,1.6,17676.0,Stade Michel d'Ornano,Johan Hamel,0.2999999999999998,0.0,Ligue1
470,2018-2019,5.0,2018-09-15,20:00,Dijon,Angers,1,3,1.2,1.4,12275.0,Stade Gaston Gérard,Hakim Ben El Hadj Salem,-0.19999999999999996,-2.0,Ligue1
471,2018-2019,5.0,2018-09-15,20:00,Toulouse,Monaco,1,1,1.6,0.6,16689.0,Stadium Municipal,Ruddy Buquet,1.0,0.0,Ligue1
472,2018-2019,5.0,2018-09-15,20:00,Montpellier,Strasbourg,1,1,0.4,0.5,10630.0,Stade de la Mosson,Willy Delajod,-0.09999999999999998,0.0,Ligue1
473,2018-2019,5.0,2018-09-15,20:00,Amiens,Lille,2,3,1.6,3.0,11569.0,Stade de la Licorne,Nicolas Rainville,-1.4,-1.0,Ligue1
474,2018-2019,5.0,2018-09-16,15:00,Nantes,Reims,0,0,0.9,0.5,18981.0,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,0.4,0.0,Ligue1
475,2018-2019,5.0,2018-09-16,17:00,Bordeaux,Nîmes,3,3,1.2,1.6,15895.0,Stade Matmut-Atlantique,Antony Gautier,-0.40000000000000013,0.0,Ligue1
476,2018-2019,5.0,2018-09-16,21:00,Marseille,Guingamp,4,0,2.1,0.2,50450.0,Orange Vélodrome,Amaury Delerue,1.9000000000000001,4.0,Ligue1
478,2018-2019,6.0,2018-09-21,20:45,Monaco,Nîmes,1,1,1.7,0.6,6837.0,Stade Louis II.,Amaury Delerue,1.1,0.0,Ligue1
479,2018-2019,6.0,2018-09-22,17:00,Lille,Nantes,2,1,0.8,1.8,27353.0,Stade Pierre-Mauroy,Benoît Bastien,-1.0,1.0,Ligue1
480,2018-2019,6.0,2018-09-22,20:00,Angers,Toulouse,0,0,0.9,0.4,10021.0,Stade Raymond Kopa,Florent Batta,0.5,0.0,Ligue1
481,2018-2019,6.0,2018-09-22,20:00,Saint-Étienne,Caen,2,1,3.5,0.6,23895.0,Stade Geoffroy-Guichard,Ruddy Buquet,2.9,1.0,Ligue1
482,2018-2019,6.0,2018-09-22,20:00,Reims,Dijon,0,0,0.9,0.2,11523.0,Stade Auguste-Delaune II,Jérôme Brisard,0.7,0.0,Ligue1
483,2018-2019,6.0,2018-09-22,20:00,Strasbourg,Amiens,3,1,1.3,0.7,24683.0,Stade de la Meinau,Jeremy Stinat,0.6000000000000001,2.0,Ligue1
484,2018-2019,6.0,2018-09-22,20:00,Montpellier,Nice,1,0,1.8,0.4,11015.0,Stade de la Mosson,Thomas Léonard,1.4,1.0,Ligue1
485,2018-2019,6.0,2018-09-23,15:00,Rennes,Paris S-G,1,3,1.3,1.6,29205.0,Roazhon Park,Hakim Ben El Hadj Salem,-0.30000000000000004,-2.0,Ligue1
486,2018-2019,6.0,2018-09-23,17:00,Guingamp,Bordeaux,1,3,1.9,1.1,14772.0,Stade du Roudourou,Franck Schneider,0.7999999999999998,-2.0,Ligue1
487,2018-2019,6.0,2018-09-23,21:00,Lyon,Marseille,4,2,1.9,0.6,57287.0,Groupama Stadium,Clément Turpin,1.2999999999999998,2.0,Ligue1
489,2018-2019,7.0,2018-09-25,19:00,Monaco,Angers,0,1,0.6,0.5,5502.0,Stade Louis II.,Willy Delajod,0.09999999999999998,-1.0,Ligue1
490,2018-2019,7.0,2018-09-25,19:00,Nantes,Nice,1,2,1.0,1.1,16604.0,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,-0.10000000000000009,-1.0,Ligue1
491,2018-2019,7.0,2018-09-25,21:00,Toulouse,Saint-Étienne,2,3,1.5,2.3,14008.0,Stadium Municipal,Amaury Delerue,-0.7999999999999998,-1.0,Ligue1
492,2018-2019,7.0,2018-09-26,19:00,Amiens,Rennes,2,1,0.7,2.0,10398.0,Stade de la Licorne,Johan Hamel,-1.3,1.0,Ligue1
493,2018-2019,7.0,2018-09-26,19:00,Bordeaux,Lille,1,0,1.0,1.9,17395.0,Stade Matmut-Atlantique,Karim Abed,-0.8999999999999999,1.0,Ligue1
494,2018-2019,7.0,2018-09-26,19:00,Nîmes,Guingamp,0,0,1.0,0.4,13415.0,Stade des Costières,Benoît Millot,0.6,0.0,Ligue1
495,2018-2019,7.0,2018-09-26,19:00,Caen,Montpellier,2,2,0.8,2.3,14402.0,Stade Michel d'Ornano,Antony Gautier,-1.4999999999999998,0.0,Ligue1
496,2018-2019,7.0,2018-09-26,19:00,Marseille,Strasbourg,3,2,1.4,0.8,47099.0,Orange Vélodrome,François Letexier,0.5999999999999999,1.0,Ligue1
497,2018-2019,7.0,2018-09-26,19:00,Dijon,Lyon,0,3,1.6,2.5,14651.0,Stade Gaston Gérard,Jérôme Miguelgorry,-0.8999999999999999,-3.0,Ligue1
498,2018-2019,7.0,2018-09-26,21:00,Paris S-G,Reims,4,1,3.5,0.4,47237.0,Parc des Princes,Olivier Thual,3.1,3.0,Ligue1
500,2018-2019,8.0,2018-09-28,20:45,Saint-Étienne,Monaco,2,0,1.6,2.1,26486.0,Stade Geoffroy-Guichard,Jérôme Brisard,-0.5,2.0,Ligue1
501,2018-2019,8.0,2018-09-29,17:15,Nice,Paris S-G,0,3,0.5,2.6,33138.0,Stade de Nice,Clément Turpin,-2.1,-3.0,Ligue1
502,2018-2019,8.0,2018-09-29,20:00,Angers,Guingamp,0,1,0.5,1.5,9483.0,Stade Raymond Kopa,Nicolas Rainville,-1.0,-1.0,Ligue1
503,2018-2019,8.0,2018-09-29,20:00,Reims,Bordeaux,0,0,0.9,0.3,13406.0,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,0.6000000000000001,0.0,Ligue1
504,2018-2019,8.0,2018-09-29,20:00,Lyon,Nantes,1,1,2.2,1.2,50319.0,Groupama Stadium,Franck Schneider,1.0000000000000002,0.0,Ligue1
505,2018-2019,8.0,2018-09-29,20:00,Caen,Amiens,1,0,1.5,0.3,15007.0,Stade Michel d'Ornano,Benoît Bastien,1.2,1.0,Ligue1
506,2018-2019,8.0,2018-09-29,20:00,Strasbourg,Dijon,3,0,1.0,1.1,25060.0,Stade de la Meinau,Eric Wattellier,-0.10000000000000009,3.0,Ligue1
507,2018-2019,8.0,2018-09-30,15:00,Rennes,Toulouse,1,1,2.7,0.3,21173.0,Roazhon Park,Thomas Léonard,2.4000000000000004,0.0,Ligue1
508,2018-2019,8.0,2018-09-30,17:00,Montpellier,Nîmes,3,0,2.5,1.0,20054.0,Stade de la Mosson,Ruddy Buquet,1.5,3.0,Ligue1
509,2018-2019,8.0,2018-09-30,21:00,Lille,Marseille,3,0,2.8,0.5,41623.0,Stade Pierre-Mauroy,Mikael Lesage,2.3,3.0,Ligue1
511,2018-2019,9.0,2018-10-05,20:45,Toulouse,Nice,1,1,1.0,1.0,14162.0,Stadium Municipal,Willy Delajod,0.0,0.0,Ligue1
512,2018-2019,9.0,2018-10-06,17:00,Lille,Saint-Étienne,3,1,0.8,1.3,31263.0,Stade Pierre-Mauroy,Jérôme Miguelgorry,-0.5,2.0,Ligue1
513,2018-2019,9.0,2018-10-06,20:00,Amiens,Dijon,1,0,0.3,0.5,10194.0,Stade de la Licorne,Florent Batta,-0.2,1.0,Ligue1
514,2018-2019,9.0,2018-10-06,20:00,Nîmes,Reims,0,0,0.9,1.2,12958.0,Stade des Costières,Karim Abed,-0.29999999999999993,0.0,Ligue1
515,2018-2019,9.0,2018-10-06,20:00,Guingamp,Montpellier,1,1,0.8,1.2,13643.0,Stade du Roudourou,Jeremy Stinat,-0.3999999999999999,0.0,Ligue1
516,2018-2019,9.0,2018-10-06,20:00,Angers,Strasbourg,2,2,2.5,1.3,8930.0,Stade Raymond Kopa,Johan Hamel,1.2,0.0,Ligue1
517,2018-2019,9.0,2018-10-07,15:00,Bordeaux,Nantes,3,0,1.7,0.6,18307.0,Stade Matmut-Atlantique,François Letexier,1.1,3.0,Ligue1
518,2018-2019,9.0,2018-10-07,17:00,Marseille,Caen,2,0,1.6,0.7,55935.0,Orange Vélodrome,Benoît Millot,0.9000000000000001,2.0,Ligue1
519,2018-2019,9.0,2018-10-07,17:00,Monaco,Rennes,1,2,0.4,1.1,6268.0,Stade Louis II.,Olivier Thual,-0.7000000000000001,-1.0,Ligue1
520,2018-2019,9.0,2018-10-07,21:00,Paris S-G,Lyon,5,0,3.6,1.5,47443.0,Parc des Princes,Antony Gautier,2.1,5.0,Ligue1
522,2018-2019,10.0,2018-10-19,20:45,Lyon,Nîmes,2,0,1.9,1.4,42896.0,Groupama Stadium,Olivier Thual,0.5,2.0,Ligue1
523,2018-2019,10.0,2018-10-20,17:00,Paris S-G,Amiens,5,0,2.4,0.7,47497.0,Parc des Princes,Mikael Lesage,1.7,5.0,Ligue1
524,2018-2019,10.0,2018-10-20,20:00,Reims,Angers,1,1,1.1,1.7,10954.0,Stade Auguste-Delaune II,Eric Wattellier,-0.5999999999999999,0.0,Ligue1
525,2018-2019,10.0,2018-10-20,20:00,Nantes,Toulouse,4,0,2.5,0.5,22613.0,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,2.0,4.0,Ligue1
526,2018-2019,10.0,2018-10-20,20:00,Caen,Guingamp,0,0,0.4,0.4,16009.0,Stade Michel d'Ornano,Hakim Ben El Hadj Salem,0.0,0.0,Ligue1
527,2018-2019,10.0,2018-10-20,20:00,Dijon,Lille,1,2,1.6,2.0,13004.0,Stade Gaston Gérard,Thomas Léonard,-0.3999999999999999,-1.0,Ligue1
528,2018-2019,10.0,2018-10-20,20:00,Strasbourg,Monaco,2,1,0.9,1.5,25358.0,Stade de la Meinau,Nicolas Rainville,-0.6,1.0,Ligue1
529,2018-2019,10.0,2018-10-21,15:00,Montpellier,Bordeaux,2,0,1.9,1.0,12491.0,Stade de la Mosson,Franck Schneider,0.8999999999999999,2.0,Ligue1
530,2018-2019,10.0,2018-10-21,17:00,Saint-Étienne,Rennes,1,1,1.8,1.9,29557.0,Stade Geoffroy-Guichard,Clément Turpin,-0.09999999999999987,0.0,Ligue1
531,2018-2019,10.0,2018-10-21,21:00,Nice,Marseille,0,1,0.7,0.5,30754.0,Stade de Nice,Amaury Delerue,0.19999999999999996,-1.0,Ligue1
533,2018-2019,11.0,2018-10-26,20:45,Nîmes,Saint-Étienne,1,1,1.3,0.8,15412.0,Stade des Costières,François Letexier,0.5,0.0,Ligue1
534,2018-2019,11.0,2018-10-27,17:00,Angers,Lyon,1,2,1.3,1.7,14186.0,Stade Raymond Kopa,Ruddy Buquet,-0.3999999999999999,-1.0,Ligue1
535,2018-2019,11.0,2018-10-27,20:00,Toulouse,Montpellier,0,3,1.2,1.5,14100.0,Stadium Municipal,Karim Abed,-0.30000000000000004,-3.0,Ligue1
536,2018-2019,11.0,2018-10-27,20:00,Monaco,Dijon,2,2,1.0,0.6,7139.0,Stade Louis II.,Jérôme Miguelgorry,0.4,0.0,Ligue1
537,2018-2019,11.0,2018-10-27,20:00,Amiens,Nantes,1,2,1.2,1.6,11384.0,Stade de la Licorne,Jeremy Stinat,-0.40000000000000013,-1.0,Ligue1
538,2018-2019,11.0,2018-10-27,20:00,Guingamp,Strasbourg,1,1,1.2,1.5,13643.0,Stade du Roudourou,Willy Delajod,-0.30000000000000004,0.0,Ligue1
539,2018-2019,11.0,2018-10-27,20:00,Lille,Caen,1,0,0.6,0.4,33362.0,Stade Pierre-Mauroy,Florent Batta,0.19999999999999996,1.0,Ligue1
540,2018-2019,11.0,2018-10-28,15:00,Rennes,Reims,0,2,0.6,0.3,22710.0,Roazhon Park,Benoît Millot,0.3,-2.0,Ligue1
541,2018-2019,11.0,2018-10-28,17:00,Bordeaux,Nice,0,1,2.0,1.1,20730.0,Stade Matmut-Atlantique,Jérôme Brisard,0.8999999999999999,-1.0,Ligue1
542,2018-2019,11.0,2018-10-28,21:00,Marseille,Paris S-G,0,2,0.6,1.5,64696.0,Orange Vélodrome,Benoît Bastien,-0.9,-2.0,Ligue1
544,2018-2019,12.0,2018-11-02,20:45,Paris S-G,Lille,2,1,1.9,1.0,47549.0,Parc des Princes,François Letexier,0.8999999999999999,1.0,Ligue1
545,2018-2019,12.0,2018-11-03,17:00,Lyon,Bordeaux,1,1,0.3,1.4,46653.0,Groupama Stadium,Benoît Millot,-1.0999999999999999,0.0,Ligue1
546,2018-2019,12.0,2018-11-03,20:00,Dijon,Nîmes,0,4,1.8,2.2,12113.0,Stade Gaston Gérard,Franck Schneider,-0.40000000000000013,-4.0,Ligue1
547,2018-2019,12.0,2018-11-03,20:00,Nice,Amiens,1,0,1.2,0.8,15259.0,Stade de Nice,Johan Hamel,0.3999999999999999,1.0,Ligue1
548,2018-2019,12.0,2018-11-03,20:00,Caen,Rennes,1,2,1.7,2.5,17284.0,Stade Michel d'Ornano,Amaury Delerue,-0.8,-1.0,Ligue1
549,2018-2019,12.0,2018-11-03,20:00,Reims,Monaco,1,0,1.1,1.0,16005.0,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,0.10000000000000009,1.0,Ligue1
550,2018-2019,12.0,2018-11-03,20:00,Strasbourg,Toulouse,1,1,1.0,1.0,25034.0,Stade de la Meinau,Jérôme Miguelgorry,0.0,0.0,Ligue1
551,2018-2019,12.0,2018-11-04,15:00,Nantes,Guingamp,5,0,2.5,0.2,25753.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,2.3,5.0,Ligue1
552,2018-2019,12.0,2018-11-04,17:00,Saint-Étienne,Angers,4,3,2.1,1.8,22983.0,Stade Geoffroy-Guichard,Thomas Léonard,0.30000000000000004,1.0,Ligue1
553,2018-2019,12.0,2018-11-04,21:00,Montpellier,Marseille,3,0,1.2,1.3,19683.0,Stade de la Mosson,Antony Gautier,-0.10000000000000009,3.0,Ligue1
555,2018-2019,13.0,2018-11-09,20:45,Lille,Strasbourg,0,0,1.4,0.2,27544.0,Stade Pierre-Mauroy,Olivier Thual,1.2,0.0,Ligue1
556,2018-2019,13.0,2018-11-10,17:00,Guingamp,Lyon,2,4,1.5,1.4,14171.0,Stade du Roudourou,Mikael Lesage,0.10000000000000009,-2.0,Ligue1
557,2018-2019,13.0,2018-11-10,20:00,Toulouse,Amiens,0,1,1.7,0.5,13553.0,Stadium Municipal,Eric Wattellier,1.2,-1.0,Ligue1
558,2018-2019,13.0,2018-11-10,20:00,Saint-Étienne,Reims,2,0,0.9,0.7,22838.0,Stade Geoffroy-Guichard,Florent Batta,0.20000000000000007,2.0,Ligue1
559,2018-2019,13.0,2018-11-10,20:00,Nîmes,Nice,0,1,1.1,1.3,14290.0,Stade des Costières,Benoît Bastien,-0.19999999999999996,-1.0,Ligue1
560,2018-2019,13.0,2018-11-10,20:00,Angers,Montpellier,1,0,0.8,0.4,8342.0,Stade Raymond Kopa,Jeremy Stinat,0.4,1.0,Ligue1
561,2018-2019,13.0,2018-11-11,15:00,Bordeaux,Caen,0,0,1.5,0.5,15352.0,Stade Matmut-Atlantique,Nicolas Rainville,1.0,0.0,Ligue1
562,2018-2019,13.0,2018-11-11,17:00,Rennes,Nantes,1,1,1.8,0.3,23270.0,Roazhon Park,Karim Abed,1.5,0.0,Ligue1
563,2018-2019,13.0,2018-11-11,17:00,Marseille,Dijon,2,0,3.2,0.4,47430.0,Orange Vélodrome,Willy Delajod,2.8000000000000003,2.0,Ligue1
564,2018-2019,13.0,2018-11-11,21:00,Monaco,Paris S-G,0,4,1.4,3.6,12533.0,Stade Louis II.,Ruddy Buquet,-2.2,-4.0,Ligue1
566,2018-2019,14.0,2018-11-23,21:00,Lyon,Saint-Étienne,1,0,0.9,1.5,55701.0,Groupama Stadium,Antony Gautier,-0.6,1.0,Ligue1
567,2018-2019,14.0,2018-11-24,17:00,Paris S-G,Toulouse,1,0,1.2,0.6,47244.0,Parc des Princes,Hakim Ben El Hadj Salem,0.6,1.0,Ligue1
568,2018-2019,14.0,2018-11-24,20:00,Nantes,Angers,1,1,1.7,0.8,23682.0,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,0.8999999999999999,0.0,Ligue1
569,2018-2019,14.0,2018-11-24,20:00,Dijon,Bordeaux,0,0,0.9,0.4,12285.0,Stade Gaston Gérard,François Letexier,0.5,0.0,Ligue1
570,2018-2019,14.0,2018-11-24,20:00,Caen,Monaco,0,1,0.8,0.8,15013.0,Stade Michel d'Ornano,Thomas Léonard,0.0,-1.0,Ligue1
571,2018-2019,14.0,2018-11-24,20:00,Strasbourg,Nîmes,0,1,0.9,1.0,25128.0,Stade de la Meinau,Benoît Millot,-0.09999999999999998,-1.0,Ligue1
572,2018-2019,14.0,2018-11-24,20:00,Reims,Guingamp,2,1,0.9,1.4,10028.0,Stade Auguste-Delaune II,Johan Hamel,-0.4999999999999999,1.0,Ligue1
573,2018-2019,14.0,2018-11-25,15:00,Montpellier,Rennes,2,2,2.5,1.5,10761.0,Stade de la Mosson,Jérôme Brisard,1.0,0.0,Ligue1
574,2018-2019,14.0,2018-11-25,17:00,Nice,Lille,2,0,1.1,0.4,18211.0,Stade de Nice,Franck Schneider,0.7000000000000001,2.0,Ligue1
575,2018-2019,14.0,2018-11-25,21:00,Amiens,Marseille,1,3,1.1,2.1,11932.0,Stade de la Licorne,Jérôme Miguelgorry,-1.0,-2.0,Ligue1
577,2018-2019,15.0,2018-11-30,20:45,Saint-Étienne,Nantes,3,0,2.4,0.3,21884.0,Stade Geoffroy-Guichard,Jérôme Brisard,2.1,3.0,Ligue1
578,2018-2019,15.0,2018-12-01,17:00,Lille,Lyon,2,2,1.0,2.9,38755.0,Stade Pierre-Mauroy,Benoît Bastien,-1.9,0.0,Ligue1
579,2018-2019,15.0,2018-12-01,20:00,Angers,Caen,1,1,1.4,0.9,8523.0,Stade Raymond Kopa,Willy Delajod,0.4999999999999999,0.0,Ligue1
580,2018-2019,15.0,2018-12-01,20:00,Nîmes,Amiens,3,0,1.8,0.9,12159.0,Stade des Costières,Karim Abed,0.9,3.0,Ligue1
581,2018-2019,15.0,2018-12-01,20:00,Monaco,Montpellier,1,2,0.7,1.6,6725.0,Stade Louis II.,Olivier Thual,-0.9000000000000001,-1.0,Ligue1
582,2018-2019,15.0,2018-12-01,20:00,Guingamp,Nice,0,0,0.9,0.6,12671.0,Stade du Roudourou,Ruddy Buquet,0.30000000000000004,0.0,Ligue1
583,2018-2019,15.0,2018-12-02,15:00,Toulouse,Dijon,2,2,0.8,1.8,10279.0,Stadium Municipal,Jérôme Miguelgorry,-1.0,0.0,Ligue1
584,2018-2019,15.0,2018-12-02,17:00,Rennes,Strasbourg,1,4,0.7,3.2,19867.0,Roazhon Park,Eric Wattellier,-2.5,-3.0,Ligue1
585,2018-2019,15.0,2018-12-02,17:00,Marseille,Reims,0,0,0.8,0.7,41932.0,Orange Vélodrome,Nicolas Rainville,0.10000000000000009,0.0,Ligue1
586,2018-2019,15.0,2018-12-02,21:00,Bordeaux,Paris S-G,2,2,0.9,1.4,40841.0,Stade Matmut-Atlantique,Franck Schneider,-0.4999999999999999,0.0,Ligue1
588,2018-2019,16.0,2018-12-04,19:00,Amiens,Monaco,0,2,0.6,1.8,11048.0,Stade de la Licorne,Jérôme Brisard,-1.2000000000000002,-2.0,Ligue1
589,2018-2019,16.0,2018-12-04,19:00,Nice,Angers,0,0,2.6,0.3,14123.0,Stade de Nice,Hakim Ben El Hadj Salem,2.3000000000000003,0.0,Ligue1
590,2018-2019,16.0,2018-12-04,21:00,Montpellier,Lille,0,1,1.3,1.6,12486.0,Stade de la Mosson,Mikael Lesage,-0.30000000000000004,-1.0,Ligue1
591,2018-2019,16.0,2018-12-05,19:00,Dijon,Guingamp,2,1,0.4,1.3,11711.0,Stade Gaston Gérard,Thomas Léonard,-0.9,1.0,Ligue1
