,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
45,5.0,Fri,2019-09-13,20:45,Amiens,0.5,2–2,2.0,Lyon,12577.0,Stade Crédit Agricole la Licorne,Benoît Bastien,Match Report,
46,5.0,Sat,2019-09-14,17:30,Paris S-G,0.8,1–0,0.5,Strasbourg,47505.0,Parc des Princes,Amaury Delerue,Match Report,
47,5.0,Sat,2019-09-14,20:00,Brest,0.5,0–0,0.4,Rennes,14937.0,Stade Francis-Le Blé,Clément Turpin,Match Report,
48,5.0,Sat,2019-09-14,20:00,Dijon,1.3,0–0,0.4,Nîmes,11413.0,Stade Gaston Gérard,Stéphanie Frappart,Match Report,
49,5.0,Sat,2019-09-14,20:00,Montpellier,1.8,2–1,1.0,Nice,12765.0,Stade de la Mosson,Olivier Thual,Match Report,
50,5.0,Sat,2019-09-14,20:00,Bordeaux,1.4,2–0,1.2,Metz,14352.0,Stade Matmut-Atlantique,Mikael Lesage,Match Report,
51,5.0,Sun,2019-09-15,15:00,Nantes,0.4,1–0,0.7,Reims,18897.0,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Match Report,
52,5.0,Sun,2019-09-15,17:00,Saint-Étienne,1.1,2–2,1.9,Toulouse,24240.0,Stade Geoffroy-Guichard,Jeremy Stinat,Match Report,
53,5.0,Sun,2019-09-15,21:00,Monaco,2.5,3–4,1.6,Marseille,9147.0,Stade Louis II.,Antony Gautier,Match Report,
54,,,,,,,,,,,,,,
55,6.0,Fri,2019-09-20,20:45,Strasbourg,2.0,2–1,0.6,Nantes,24013.0,Stade de la Meinau,Florent Batta,Match Report,
56,6.0,Sat,2019-09-21,17:30,Marseille,1.2,1–1,0.1,Montpellier,48007.0,Orange Vélodrome,Amaury Delerue,Match Report,
57,6.0,Sat,2019-09-21,20:00,Nîmes,1.4,1–0,0.7,Toulouse,12258.0,Stade des Costières,Karim Abed,Match Report,
58,6.0,Sat,2019-09-21,20:00,Nice,1.1,2–1,1.2,Dijon,16255.0,Stade de Nice,Willy Delajod,Match Report,
59,6.0,Sat,2019-09-21,20:00,Reims,1.3,0–0,0.6,Monaco,14426.0,Stade Auguste-Delaune II,Olivier Thual,Match Report,
