,Season,League Rank,Squad,# of Players,Avg Age,Avg Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages ($),League
38,2018-2019,17,Caen,91,25.8,44.0,38,7,12,19,29,54,-25,33,0.87,31.0,63.8,-32.8,-0.86,16654.0,"12,661,444",Ligue1
39,2018-2019,12,Guingamp,86,26.0,44.1,38,5,12,21,28,68,-40,27,0.71,40.4,53.4,-12.9,-0.34,14731.0,"16,751,140",Ligue1
40,2019-2020,6,Lille,74,25.4,53.8,38,24,11,3,64,23,41,83,2.18,48.5,29.8,18.7,0.49,209.0,"27,801,367",Ligue1
41,2019-2020,1,Paris S-G,96,26.7,63.1,38,26,4,8,86,28,58,82,2.16,80.1,40.6,39.5,1.04,,"247,175,346",Ligue1
42,2019-2020,2,Monaco,89,24.8,55.8,38,24,6,8,76,42,34,78,2.05,68.7,34.6,34.1,0.9,,"61,054,978",Ligue1
43,2019-2020,3,Lyon,78,25.8,54.9,38,22,10,6,81,43,38,76,2.0,81.4,41.5,39.9,1.05,231.0,"56,489,360",Ligue1
44,2019-2020,4,Marseille,98,27.2,53.6,38,16,12,10,54,47,7,60,1.58,47.0,47.4,-0.4,-0.01,,"54,145,401",Ligue1
45,2019-2020,5,Rennes,77,25.5,59.1,38,16,10,12,52,40,12,58,1.53,47.8,38.1,9.7,0.26,,"29,493,093",Ligue1
46,2019-2020,19,Lens,83,26.4,51.1,38,15,12,11,55,54,1,57,1.5,56.4,46.8,9.6,0.25,,"8,662,447",Ligue1
47,2019-2020,11,Montpellier,87,28.0,45.7,38,14,12,12,60,62,-2,54,1.42,51.9,66.2,-14.3,-0.38,,"16,112,152",Ligue1
48,2019-2020,8,Nice,81,23.5,54.3,38,15,7,16,50,53,-3,52,1.37,48.0,55.6,-7.7,-0.2,,"23,806,448",Ligue1
49,2019-2020,16,Metz,84,25.7,45.2,38,12,11,15,44,48,-4,47,1.24,44.1,49.2,-5.2,-0.14,498.0,"9,742,707",Ligue1
50,2019-2020,9,Saint-Étienne,85,25.4,48.3,38,12,10,16,42,54,-12,46,1.21,48.7,50.1,-1.3,-0.04,,"20,372,045",Ligue1
51,2019-2020,7,Bordeaux,76,27.6,49.8,38,13,6,19,42,56,-14,45,1.18,43.5,54.9,-11.4,-0.3,,"25,029,381",Ligue1
