,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
35,Regular season,4.0,Sun,2021-08-29,13:00,Troyes,0.7,1–2,1.9,Monaco,9866.0,Stade de l'Aube,Johan Hamel,Match Report,
36,Regular season,4.0,Sun,2021-08-29,15:00,Strasbourg,1.4,3–1,0.8,Brest,22341.0,Stade de la Meinau,Romain Lissorgue,Match Report,
37,Regular season,4.0,Sun,2021-08-29,15:00,Angers,2.2,2–0,0.9,Rennes,6473.0,Stade Raymond Kopa,Antony Gautier,Match Report,
38,Regular season,4.0,Sun,2021-08-29,15:00,Lens,1.3,2–2,1.2,Lorient,35029.0,Stade Bollaert-Delelis,Willy Delajod,Match Report,
39,Regular season,4.0,Sun,2021-08-29,15:00,Clermont Foot,1.6,2–2,1.4,Metz,11274.0,Stade Gabriel Montpied,Hakim Ben El Hadj Salem,Match Report,
40,Regular season,4.0,Sun,2021-08-29,17:00,Lille,1.6,2–1,0.6,Montpellier,28859.0,Stade Pierre-Mauroy,Amaury Delerue,Match Report,
41,Regular season,4.0,Sun,2021-08-29,20:45,Reims,0.7,0–2,1.3,Paris S-G,20525.0,Stade Auguste-Delaune II,François Letexier,Match Report,
42,,,,,,,,,,,,,,,
43,Regular season,5.0,Fri,2021-09-10,21:00,Lorient,1.8,2–1,1.3,Lille,10271.0,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
44,Regular season,5.0,Sat,2021-09-11,17:00,Paris S-G,2.5,4–0,0.9,Clermont Foot,47329.0,Parc des Princes,Mikael Lesage,Match Report,
45,Regular season,5.0,Sat,2021-09-11,21:00,Monaco,0.8,0–2,1.6,Marseille,8615.0,Stade Louis II.,Stéphanie Frappart,Match Report,
46,Regular season,5.0,Sun,2021-09-12,13:00,Montpellier,1.1,2–0,0.8,Saint-Étienne,10402.0,Stade de la Mosson,Benoît Bastien,Match Report,
47,Regular season,5.0,Sun,2021-09-12,15:00,Rennes,0.6,0–2,0.5,Reims,24486.0,Roazhon Park,Thomas Léonard,Match Report,
48,Regular season,5.0,Sun,2021-09-12,15:00,Bordeaux,0.8,2–3,2.5,Lens,19763.0,Stade Matmut-Atlantique,Luís Godinho,Match Report,
49,Regular season,5.0,Sun,2021-09-12,15:00,Brest,1.3,1–1,1.2,Angers,10982.0,Stade Francis-Le Blé,Jeremy Stinat,Match Report,
50,Regular season,5.0,Sun,2021-09-12,15:00,Metz,0.7,0–2,0.6,Troyes,15269.0,Stade Saint-Symphorien,Pierre Gaillouste,Match Report,
51,Regular season,5.0,Sun,2021-09-12,17:00,Nantes,1.7,0–2,2.1,Nice,14597.0,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Match Report,
52,Regular season,5.0,Sun,2021-09-12,20:45,Lyon,1.6,3–1,1.6,Strasbourg,33267.0,Groupama Stadium,Ruddy Buquet,Match Report,
53,,,,,,,,,,,,,,,
54,Regular season,6.0,Fri,2021-09-17,21:00,Strasbourg,2.0,3–0,0.6,Metz,25437.0,Stade de la Meinau,Eric Wattellier,Match Report,
55,Regular season,6.0,Sat,2021-09-18,17:00,Lens,0.6,1–0,0.7,Lille,36512.0,Stade Bollaert-Delelis,Benoît Millot,Match Report,
56,Regular season,6.0,Sat,2021-09-18,21:00,Saint-Étienne,1.4,1–2,2.3,Bordeaux,23869.0,Stade Geoffroy-Guichard,Antony Gautier,Match Report,
57,Regular season,6.0,Sun,2021-09-19,13:00,Nice,1.7,2–2,2.4,Monaco,,Stade de Nice,François Letexier,Match Report,
58,Regular season,6.0,Sun,2021-09-19,15:00,Troyes,1.1,1–1,0.2,Montpellier,7405.0,Stade de l'Aube,Florent Batta,Match Report,
59,Regular season,6.0,Sun,2021-09-19,15:00,Clermont Foot,1.1,1–1,0.5,Brest,11224.0,Stade Gabriel Montpied,Bastien Dechepy,Match Report,
60,Regular season,6.0,Sun,2021-09-19,15:00,Reims,0.8,0–0,0.3,Lorient,9443.0,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Match Report,
61,Regular season,6.0,Sun,2021-09-19,15:00,Angers,0.9,1–4,2.1,Nantes,9046.0,Stade Raymond Kopa,Amaury Delerue,Match Report,
62,Regular season,6.0,Sun,2021-09-19,17:00,Marseille,2.1,2–0,1.5,Rennes,54188.0,Orange Vélodrome,Willy Delajod,Match Report,
63,Regular season,6.0,Sun,2021-09-19,20:45,Paris S-G,2.0,2–1,0.8,Lyon,47611.0,Parc des Princes,Clément Turpin,Match Report,
64,,,,,,,,,,,,,,,
65,Regular season,7.0,Wed,2021-09-22,19:00,Rennes,2.4,6–0,0.3,Clermont Foot,24109.0,Roazhon Park,Benoît Bastien,Match Report,
66,Regular season,7.0,Wed,2021-09-22,19:00,Nantes,1.3,3–1,0.8,Brest,19676.0,Stade de la Beaujoire - Louis Fonteneau,Thomas Léonard,Match Report,
67,Regular season,7.0,Wed,2021-09-22,19:00,Lille,0.7,2–1,1.3,Reims,32604.0,Stade Pierre-Mauroy,Johan Hamel,Match Report,
68,Regular season,7.0,Wed,2021-09-22,19:00,Montpellier,1.3,3–3,1.2,Bordeaux,9585.0,Stade de la Mosson,Mikael Lesage,Match Report,
69,Regular season,7.0,Wed,2021-09-22,19:00,Monaco,1.7,3–1,0.4,Saint-Étienne,3579.0,Stade Louis II.,Jérôme Brisard,Match Report,
70,Regular season,7.0,Wed,2021-09-22,21:00,Lyon,1.8,3–1,1.4,Troyes,29714.0,Groupama Stadium,Stéphanie Frappart,Match Report,
71,Regular season,7.0,Wed,2021-09-22,21:00,Lens,1.5,0–1,1.1,Strasbourg,,Stade Bollaert-Delelis,Jeremy Stinat,Match Report,
72,Regular season,7.0,Wed,2021-09-22,21:00,Lorient,0.5,1–0,2.2,Nice,10687.0,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,
73,Regular season,7.0,Wed,2021-09-22,21:00,Angers,0.4,0–0,0.7,Marseille,12458.0,Stade Raymond Kopa,Ruddy Buquet,Match Report,
74,Regular season,7.0,Wed,2021-09-22,21:00,Metz,0.9,1–2,1.3,Paris S-G,2661.0,Stade Saint-Symphorien,Jérémie Pignard,Match Report,
75,,,,,,,,,,,,,,,
76,Regular season,8.0,Sat,2021-09-25,17:00,Saint-Étienne,0.6,0–3,2.2,Nice,19980.0,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
77,Regular season,8.0,Sat,2021-09-25,19:00,Strasbourg,0.4,1–2,2.3,Lille,23762.0,Stade de la Meinau,François Letexier,Match Report,
78,Regular season,8.0,Sat,2021-09-25,21:00,Paris S-G,2.1,2–0,0.2,Montpellier,47408.0,Parc des Princes,Antony Gautier,Match Report,
79,Regular season,8.0,Sat,2021-09-25,21:00,Lyon,1.3,1–1,0.7,Lorient,36424.0,Groupama Stadium,Bastien Dechepy,Match Report,
80,Regular season,8.0,Sun,2021-09-26,13:00,Bordeaux,0.7,1–1,2.0,Rennes,16675.0,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Match Report,
81,Regular season,8.0,Sun,2021-09-26,15:00,Troyes,1.0,1–1,1.3,Angers,6868.0,Stade de l'Aube,Thomas Léonard,Match Report,
82,Regular season,8.0,Sun,2021-09-26,15:00,Brest,1.6,1–2,0.6,Metz,10398.0,Stade Francis-Le Blé,Willy Delajod,Match Report,
83,Regular season,8.0,Sun,2021-09-26,15:00,Reims,1.1,3–1,0.6,Nantes,280.0,Stade Auguste-Delaune II,Eric Wattellier,Match Report,
84,Regular season,8.0,Sun,2021-09-26,17:00,Clermont Foot,1.1,1–3,1.6,Monaco,11529.0,Stade Gabriel Montpied,Benoît Millot,Match Report,
85,Regular season,8.0,Sun,2021-09-26,20:45,Marseille,2.0,2–3,2.0,Lens,50001.0,Orange Vélodrome,Mikael Lesage,Match Report,
86,,,,,,,,,,,,,,,
87,Regular season,9.0,Fri,2021-10-01,21:00,Lens,2.1,2–0,0.1,Reims,,Stade Bollaert-Delelis,Benoît Bastien,Match Report,
88,Regular season,9.0,Sat,2021-10-02,17:00,Montpellier,1.1,1–1,0.3,Strasbourg,9851.0,Stade de la Mosson,Hakim Ben El Hadj Salem,Match Report,
89,Regular season,9.0,Sat,2021-10-02,21:00,Nice,3.8,2–1,0.6,Brest,13503.0,Stade de Nice,António Nobre,Match Report,
90,Regular season,9.0,Sun,2021-10-03,13:00,Rennes,1.0,2–0,1.5,Paris S-G,28092.0,Roazhon Park,Ruddy Buquet,Match Report,
91,Regular season,9.0,Sun,2021-10-03,15:00,Lorient,0.5,1–1,1.1,Clermont Foot,12611.0,Stade Yves Allainmat - Le Moustoir,Pierre Gaillouste,Match Report,
92,Regular season,9.0,Sun,2021-10-03,15:00,Monaco,1.6,3–0,0.3,Bordeaux,3667.0,Stade Louis II.,Clément Turpin,Match Report,
93,Regular season,9.0,Sun,2021-10-03,15:00,Angers,2.3,3–2,1.1,Metz,3989.0,Stade Raymond Kopa,Stéphanie Frappart,Match Report,
94,Regular season,9.0,Sun,2021-10-03,15:00,Nantes,1.9,2–0,1.3,Troyes,15150.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
95,Regular season,9.0,Sun,2021-10-03,17:00,Lille,3.0,2–0,0.4,Marseille,44839.0,Stade Pierre-Mauroy,Jérémie Pignard,Match Report,
96,Regular season,9.0,Sun,2021-10-03,20:45,Saint-Étienne,2.3,1–1,1.3,Lyon,33643.0,Stade Geoffroy-Guichard,François Letexier,Match Report,
97,,,,,,,,,,,,,,,
98,Regular season,10.0,Fri,2021-10-15,21:00,Paris S-G,2.0,2–1,1.1,Angers,47646.0,Parc des Princes,Bastien Dechepy,Match Report,
99,Regular season,10.0,Sat,2021-10-16,17:00,Clermont Foot,0.3,1–0,0.9,Lille,11537.0,Stade Gabriel Montpied,Eric Wattellier,Match Report,
100,Regular season,10.0,Sat,2021-10-16,21:00,Lyon,2.6,2–0,0.6,Monaco,50585.0,Groupama Stadium,Amaury Delerue,Match Report,
101,Regular season,10.0,Sun,2021-10-17,13:00,Troyes,0.9,1–0,0.6,Nice,7925.0,Stade de l'Aube,Johan Hamel,Match Report,
102,Regular season,10.0,Sun,2021-10-17,15:00,Brest,0.5,1–1,0.8,Reims,9693.0,Stade Francis-Le Blé,Jeremy Stinat,Match Report,
103,Regular season,10.0,Sun,2021-10-17,15:00,Bordeaux,0.5,1–1,1.3,Nantes,39510.0,Stade Matmut-Atlantique,Willy Delajod,Match Report,
104,Regular season,10.0,Sun,2021-10-17,15:00,Metz,0.9,0–3,2.2,Rennes,15679.0,Stade Saint-Symphorien,Benoît Millot,Match Report,
105,Regular season,10.0,Sun,2021-10-17,15:00,Strasbourg,2.1,5–1,1.0,Saint-Étienne,25371.0,Stade de la Meinau,Mikael Lesage,Match Report,
106,Regular season,10.0,Sun,2021-10-17,17:00,Montpellier,1.5,1–0,0.9,Lens,12474.0,Stade de la Mosson,Florent Batta,Match Report,
107,Regular season,10.0,Sun,2021-10-17,20:45,Marseille,1.8,4–1,2.2,Lorient,57349.0,Orange Vélodrome,Antony Gautier,Match Report,
108,,,,,,,,,,,,,,,
109,Regular season,11.0,Fri,2021-10-22,21:00,Saint-Étienne,1.6,2–2,0.5,Angers,19836.0,Stade Geoffroy-Guichard,Antony Gautier,Match Report,
110,Regular season,11.0,Sat,2021-10-23,17:00,Nantes,1.3,2–1,1.1,Clermont Foot,19968.0,Stade de la Beaujoire - Louis Fonteneau,Romain Lissorgue,Match Report,
111,Regular season,11.0,Sat,2021-10-23,21:00,Lille,1.7,1–1,1.2,Brest,32613.0,Stade Pierre-Mauroy,Clément Turpin,Match Report,
112,Regular season,11.0,Sun,2021-10-24,13:00,Nice,2.4,3–2,1.4,Lyon,24519.0,Stade de Nice,Jérôme Brisard,Match Report,
113,Regular season,11.0,Sun,2021-10-24,15:00,Rennes,1.2,1–0,0.9,Strasbourg,27185.0,Roazhon Park,Stéphanie Frappart,Match Report,
114,Regular season,11.0,Sun,2021-10-24,15:00,Lens,1.8,4–1,0.8,Metz,35673.0,Stade Bollaert-Delelis,Jérémie Pignard,Match Report,
115,Regular season,11.0,Sun,2021-10-24,15:00,Lorient,1.2,1–1,1.0,Bordeaux,11678.0,Stade Yves Allainmat - Le Moustoir,Thomas Léonard,Match Report,
116,Regular season,11.0,Sun,2021-10-24,15:00,Reims,0.8,1–2,0.9,Troyes,12326.0,Stade Auguste-Delaune II,Pierre Gaillouste,Match Report,
117,Regular season,11.0,Sun,2021-10-24,17:00,Monaco,1.3,3–1,1.3,Montpellier,4861.0,Stade Louis II.,François Letexier,Match Report,
118,Regular season,11.0,Sun,2021-10-24,20:45,Marseille,1.1,0–0,1.4,Paris S-G,65121.0,Orange Vélodrome,Benoît Bastien,Match Report,
119,,,,,,,,,,,,,,,
120,Regular season,3.0,Wed,2021-10-27,21:00,Nice,1.5,1–1,0.5,Marseille,,Stade de l'Aube,Clément Turpin,Match Report,
121,,,,,,,,,,,,,,,
122,Regular season,12.0,Fri,2021-10-29,21:00,Paris S-G,2.1,2–1,1.8,Lille,47874.0,Parc des Princes,Amaury Delerue,Match Report,
123,Regular season,12.0,Sat,2021-10-30,17:00,Metz,0.4,1–1,0.4,Saint-Étienne,15914.0,Stade Saint-Symphorien,Stéphanie Frappart,Match Report,
124,Regular season,12.0,Sat,2021-10-30,21:00,Lyon,1.9,2–1,2.1,Lens,50373.0,Groupama Stadium,Mikael Lesage,Match Report,
125,Regular season,12.0,Sun,2021-10-31,13:00,Angers,1.2,1–2,0.8,Nice,6788.0,Stade Raymond Kopa,Willy Delajod,Match Report,
126,Regular season,12.0,Sun,2021-10-31,15:00,Bordeaux,1.8,3–2,1.4,Reims,11020.0,Stade Matmut-Atlantique,Eric Wattellier,Match Report,
127,Regular season,12.0,Sun,2021-10-31,15:00,Troyes,1.3,2–2,1.3,Rennes,8550.0,Stade de l'Aube,Jeremy Stinat,Match Report,
128,Regular season,12.0,Sun,2021-10-31,15:00,Montpellier,1.2,2–0,1.0,Nantes,11267.0,Stade de la Mosson,Bastien Dechepy,Match Report,
129,Regular season,12.0,Sun,2021-10-31,15:00,Strasbourg,2.3,4–0,1.3,Lorient,24002.0,Stade de la Meinau,Florent Batta,Match Report,
130,Regular season,12.0,Sun,2021-10-31,17:00,Brest,1.3,2–0,0.4,Monaco,12463.0,Stade Francis-Le Blé,Johan Hamel,Match Report,
131,Regular season,12.0,Sun,2021-10-31,20:45,Clermont Foot,0.7,0–1,1.0,Marseille,12240.0,Stade Gabriel Montpied,Benoît Millot,Match Report,
132,,,,,,,,,,,,,,,
133,Regular season,13.0,Fri,2021-11-05,21:00,Lens,3.0,4–0,0.5,Troyes,35706.0,Stade Bollaert-Delelis,Thomas Léonard,Match Report,
134,Regular season,13.0,Sat,2021-11-06,17:00,Lille,1.4,1–1,1.1,Angers,33305.0,Stade Pierre-Mauroy,François Letexier,Match Report,
135,Regular season,13.0,Sat,2021-11-06,21:00,Bordeaux,1.4,2–3,1.5,Paris S-G,41172.0,Stade Matmut-Atlantique,Ruddy Buquet,Match Report,
136,Regular season,13.0,Sun,2021-11-07,13:00,Marseille,1.3,0–0,1.2,Metz,61539.0,Orange Vélodrome,Jérôme Brisard,Match Report,
137,Regular season,13.0,Sun,2021-11-07,15:00,Saint-Étienne,1.3,3–2,1.1,Clermont Foot,,Stade Geoffroy-Guichard,Pierre Gaillouste,Match Report,
138,Regular season,13.0,Sun,2021-11-07,15:00,Lorient,1.3,1–2,2.6,Brest,14649.0,Stade Yves Allainmat - Le Moustoir,Romain Lissorgue,Match Report,
139,Regular season,13.0,Sun,2021-11-07,15:00,Reims,0.3,0–0,1.0,Monaco,12080.0,Stade Auguste-Delaune II,Jérémie Pignard,Match Report,
140,Regular season,13.0,Sun,2021-11-07,15:00,Nantes,2.3,2–2,2.1,Strasbourg,18853.0,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
141,Regular season,13.0,Sun,2021-11-07,17:00,Nice,1.4,0–1,0.4,Montpellier,20157.0,Stade de Nice,Antony Gautier,Match Report,
142,Regular season,13.0,Sun,2021-11-07,20:45,Rennes,3.3,4–1,1.1,Lyon,28222.0,Roazhon Park,Benoît Bastien,Match Report,
143,,,,,,,,,,,,,,,
144,Regular season,14.0,Fri,2021-11-19,21:00,Monaco,1.1,2–2,2.2,Lille,3778.0,Stade Louis II.,Willy Delajod,Match Report,
145,Regular season,14.0,Sat,2021-11-20,17:00,Paris S-G,1.8,3–1,1.4,Nantes,47777.0,Parc des Princes,Jeremy Stinat,Match Report,
146,Regular season,14.0,Sat,2021-11-20,21:00,Rennes,2.9,2–0,0.7,Montpellier,27003.0,Roazhon Park,Mikael Lesage,Match Report,
147,Regular season,14.0,Sun,2021-11-21,13:00,Brest,1.3,4–0,1.5,Lens,12462.0,Stade Francis-Le Blé,Eric Wattellier,Match Report,
148,Regular season,14.0,Sun,2021-11-21,15:00,Metz,1.2,3–3,2.2,Bordeaux,16077.0,Stade Saint-Symphorien,Benoît Millot,Match Report,
149,Regular season,14.0,Sun,2021-11-21,15:00,Angers,1.4,1–0,0.7,Lorient,6971.0,Stade Raymond Kopa,Pierre Gaillouste,Match Report,
150,Regular season,14.0,Sun,2021-11-21,15:00,Troyes,1.1,0–1,1.1,Saint-Étienne,10644.0,Stade de l'Aube,Florent Batta,Match Report,
151,Regular season,14.0,Sun,2021-11-21,15:00,Strasbourg,1.7,1–1,0.9,Reims,24439.0,Stade de la Meinau,Amaury Delerue,Match Report,
152,Regular season,14.0,Sun,2021-11-21,17:00,Clermont Foot,0.7,1–2,0.6,Nice,11683.0,Stade Gabriel Montpied,Stéphanie Frappart,Match Report,
153,,,,,,,,,,,,,,,
154,Regular season,15.0,Fri,2021-11-26,21:00,Lens,1.3,2–2,1.5,Angers,35713.0,Stade Bollaert-Delelis,Florent Batta,Match Report,
155,Regular season,15.0,Sat,2021-11-27,17:00,Lille,1.2,1–1,0.5,Nantes,30419.0,Stade Pierre-Mauroy,Johan Hamel,Match Report,
156,Regular season,15.0,Sat,2021-11-27,21:00,Nice,1.2,0–1,0.4,Metz,17033.0,Stade de Nice,François Letexier,Match Report,
157,Regular season,15.0,Sun,2021-11-28,13:00,Saint-Étienne,0.8,1–3,2.7,Paris S-G,24586.0,Stade Geoffroy-Guichard,Jérôme Brisard,Match Report,
158,Regular season,15.0,Sun,2021-11-28,15:00,Reims,0.6,1–0,0.5,Clermont Foot,8420.0,Stade Auguste-Delaune II,Benoît Bastien,Match Report,
159,Regular season,15.0,Sun,2021-11-28,15:00,Lorient,0.8,0–2,1.3,Rennes,16321.0,Stade Yves Allainmat - Le Moustoir,Bastien Dechepy,Match Report,
160,Regular season,15.0,Sun,2021-11-28,15:00,Bordeaux,1.4,1–2,2.4,Brest,15280.0,Stade Matmut-Atlantique,Pierre Gaillouste,Match Report,
161,Regular season,15.0,Sun,2021-11-28,15:00,Monaco,2.1,1–1,1.0,Strasbourg,3478.0,Stade Louis II.,Antony Gautier,Match Report,
162,Regular season,15.0,Sun,2021-11-28,17:00,Montpellier,1.2,0–1,0.9,Lyon,14747.0,Stade de la Mosson,Thomas Léonard,Match Report,
163,Regular season,15.0,Sun,2021-11-28,20:45,Marseille,1.6,1–0,0.1,Troyes,,Orange Vélodrome,Jérémie Pignard,Match Report,
164,,,,,,,,,,,,,,,
165,Regular season,16.0,Wed,2021-12-01,19:00,Angers,1.3,1–3,3.1,Monaco,8267.0,Stade Raymond Kopa,Romain Lissorgue,Match Report,
166,Regular season,16.0,Wed,2021-12-01,19:00,Troyes,1.0,2–0,0.4,Lorient,6506.0,Stade de l'Aube,Jeremy Stinat,Match Report,
167,Regular season,16.0,Wed,2021-12-01,19:00,Strasbourg,2.8,5–2,1.1,Bordeaux,24378.0,Stade de la Meinau,Willy Delajod,Match Report,
168,Regular season,16.0,Wed,2021-12-01,19:00,Brest,1.5,1–0,0.6,Saint-Étienne,13248.0,Stade Francis-Le Blé,Mikael Lesage,Match Report,
169,Regular season,16.0,Wed,2021-12-01,19:00,Metz,1.3,1–3,1.3,Montpellier,13992.0,Stade Saint-Symphorien,Ruddy Buquet,Match Report,
170,Regular season,16.0,Wed,2021-12-01,21:00,Rennes,0.8,1–2,0.7,Lille,25392.0,Roazhon Park,Stéphanie Frappart,Match Report,
171,Regular season,16.0,Wed,2021-12-01,21:00,Nantes,0.1,0–1,1.1,Marseille,34018.0,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,Match Report,
172,Regular season,16.0,Wed,2021-12-01,21:00,Paris S-G,1.9,0–0,1.0,Nice,47502.0,Parc des Princes,Clément Turpin,Match Report,
173,Regular season,16.0,Wed,2021-12-01,21:00,Lyon,2.6,1–2,1.2,Reims,,Groupama Stadium,Benoît Millot,Match Report,
174,Regular season,16.0,Wed,2021-12-01,21:00,Clermont Foot,1.7,2–2,0.7,Lens,11948.0,Stade Gabriel Montpied,Amaury Delerue,Match Report,
175,,,,,,,,,,,,,,,
176,Regular season,17.0,Sat,2021-12-04,17:00,Marseille,1.5,1–2,1.3,Brest,54413.0,Orange Vélodrome,Antony Gautier,Match Report,
177,Regular season,17.0,Sat,2021-12-04,19:00,Lille,1.4,2–1,0.3,Troyes,28286.0,Stade Pierre-Mauroy,Benoît Bastien,Match Report,
178,Regular season,17.0,Sat,2021-12-04,21:00,Lens,1.1,1–1,1.9,Paris S-G,36685.0,Stade Bollaert-Delelis,François Letexier,Match Report,
179,Regular season,17.0,Sun,2021-12-05,13:00,Saint-Étienne,0.5,0–5,2.6,Rennes,11257.0,Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
180,Regular season,17.0,Sun,2021-12-05,15:00,Montpellier,0.9,1–0,0.4,Clermont Foot,9643.0,Stade de la Mosson,Florent Batta,Match Report,
181,Regular season,17.0,Sun,2021-12-05,15:00,Monaco,1.6,4–0,0.6,Metz,4923.0,Stade Louis II.,Bastien Dechepy,Match Report,
182,Regular season,17.0,Sun,2021-12-05,15:00,Reims,1.2,1–2,2.2,Angers,8238.0,Stade Auguste-Delaune II,Johan Hamel,Match Report,
183,Regular season,17.0,Sun,2021-12-05,15:00,Lorient,0.9,0–1,0.2,Nantes,16025.0,Stade Yves Allainmat - Le Moustoir,Ruddy Buquet,Match Report,
184,Regular season,17.0,Sun,2021-12-05,17:00,Nice,1.3,0–3,2.6,Strasbourg,16220.0,Stade de Nice,Jérémie Pignard,Match Report,
