,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,Regular season,1.0,Fri,2021-08-06,21:00,Monaco,1.5,1–1,0.2,Nantes,7500.0,Stade Louis II.,Antony Gautier,Match Report,
1,Regular season,1.0,Sat,2021-08-07,17:00,Lyon,1.4,1–1,0.8,Brest,29018.0,Groupama Stadium,Mikael Lesage,Match Report,
2,Regular season,1.0,Sat,2021-08-07,21:00,Troyes,0.9,1–2,1.2,Paris S-G,15248.0,Stade de l'Aube,Amaury Delerue,Match Report,
3,Regular season,1.0,Sun,2021-08-08,13:00,Rennes,0.7,1–1,2.1,Lens,22567.0,Roazhon Park,Bastien Dechepy,Match Report,
4,Regular season,1.0,Sun,2021-08-08,15:00,Bordeaux,0.7,0–2,3.1,Clermont Foot,18748.0,Stade Matmut-Atlantique,Florent Batta,Match Report,
5,Regular season,1.0,Sun,2021-08-08,15:00,Strasbourg,0.3,0–2,0.9,Angers,23250.0,Stade de la Meinau,Jeremy Stinat,Match Report,
6,Regular season,1.0,Sun,2021-08-08,15:00,Nice,0.8,0–0,0.2,Reims,18030.0,Stade de Nice,Johan Hamel,Match Report,
7,Regular season,1.0,Sun,2021-08-08,15:00,Saint-Étienne,1.9,1–1,0.6,Lorient,20461.0,Stade Geoffroy-Guichard,Thomas Léonard,Match Report,
8,Regular season,1.0,Sun,2021-08-08,17:00,Metz,0.9,3–3,1.3,Lille,15551.0,Stade Saint-Symphorien,Eric Wattellier,Match Report,
9,Regular season,1.0,Sun,2021-08-08,20:45,Montpellier,0.6,2–3,1.9,Marseille,13500.0,Stade de la Mosson,Jérémie Pignard,Match Report,
10,,,,,,,,,,,,,,,
11,Regular season,2.0,Fri,2021-08-13,21:00,Lorient,0.8,1–0,1.1,Monaco,12149.0,Stade Yves Allainmat - Le Moustoir,Hakim Ben El Hadj Salem,Match Report,
12,Regular season,2.0,Sat,2021-08-14,17:00,Lille,0.8,0–4,1.9,Nice,30144.0,Stade Pierre-Mauroy,Jérôme Brisard,Match Report,
13,Regular season,2.0,Sat,2021-08-14,21:00,Paris S-G,3.1,4–2,0.7,Strasbourg,46962.0,Parc des Princes,Willy Delajod,Match Report,
14,Regular season,2.0,Sun,2021-08-15,13:00,Angers,1.8,3–0,0.9,Lyon,6154.0,Stade Raymond Kopa,Clément Turpin,Match Report,
15,Regular season,2.0,Sun,2021-08-15,15:00,Clermont Foot,1.9,2–0,0.7,Troyes,11005.0,Stade Gabriel Montpied,Romain Lissorgue,Match Report,
16,Regular season,2.0,Sun,2021-08-15,15:00,Brest,1.9,1–1,1.0,Rennes,14271.0,Stade Francis-Le Blé,Benoît Bastien,Match Report,
17,Regular season,2.0,Sun,2021-08-15,15:00,Nantes,1.7,2–0,0.6,Metz,12054.0,Stade de la Beaujoire - Louis Fonteneau,Johan Hamel,Match Report,
18,Regular season,2.0,Sun,2021-08-15,15:00,Reims,1.8,3–3,1.8,Montpellier,8887.0,Stade Auguste-Delaune II,Jeremy Stinat,Match Report,
19,Regular season,2.0,Sun,2021-08-15,17:00,Lens,1.3,2–2,0.9,Saint-Étienne,35541.0,Stade Bollaert-Delelis,Amaury Delerue,Match Report,
20,Regular season,2.0,Sun,2021-08-15,20:45,Marseille,1.0,2–2,0.3,Bordeaux,50000.0,Orange Vélodrome,Ruddy Buquet,Match Report,
21,,,,,,,,,,,,,,,
22,Regular season,3.0,Fri,2021-08-20,21:00,Brest,1.1,2–4,0.9,Paris S-G,14586.0,Stade Francis-Le Blé,Eric Wattellier,Match Report,
23,Regular season,3.0,Sat,2021-08-21,17:00,Monaco,0.3,0–2,0.5,Lens,6483.0,Stade Louis II.,Jérémie Pignard,Match Report,
24,Regular season,3.0,Sat,2021-08-21,21:00,Saint-Étienne,0.5,1–1,1.0,Lille,20673.0,Stade Geoffroy-Guichard,Mikael Lesage,Match Report,
25,Regular season,3.0,Sun,2021-08-22,13:00,Lyon,3.3,3–3,1.4,Clermont Foot,34713.0,Groupama Stadium,Thomas Léonard,Match Report,
26,Regular season,3.0,Sun,2021-08-22,15:00,Strasbourg,2.2,1–1,1.4,Troyes,22185.0,Stade de la Meinau,Jérôme Brisard,Match Report,
27,Regular season,3.0,Sun,2021-08-22,15:00,Metz,0.5,1–1,0.9,Reims,14799.0,Stade Saint-Symphorien,Florent Batta,Match Report,
28,Regular season,3.0,Sun,2021-08-22,15:00,Montpellier,3.0,3–1,0.6,Lorient,6527.0,Stade de la Mosson,Bastien Dechepy,Match Report,
29,Regular season,3.0,Sun,2021-08-22,15:00,Bordeaux,0.5,1–1,0.9,Angers,18281.0,Stade Matmut-Atlantique,Pierre Gaillouste,Match Report,
30,Regular season,3.0,Sun,2021-08-22,17:00,Rennes,0.9,1–0,0.5,Nantes,27569.0,Roazhon Park,Stéphanie Frappart,Match Report,
31,,,,,,,,,,,,,,,
32,Regular season,4.0,Fri,2021-08-27,21:00,Nantes,1.4,0–1,1.2,Lyon,23177.0,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
33,Regular season,4.0,Sat,2021-08-28,17:00,Nice,3.2,4–0,1.1,Bordeaux,,Stade de Nice,Jérémie Pignard,Match Report,
34,Regular season,4.0,Sat,2021-08-28,21:00,Marseille,2.1,3–1,1.1,Saint-Étienne,55039.0,Orange Vélodrome,Benoît Millot,Match Report,
