,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,Regular season,1.0,Fri,2020-08-21,19:00,Bordeaux,0.5,0–0,0.2,Nantes,,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
1,Regular season,1.0,Sat,2020-08-22,17:00,Dijon,0.9,0–1,1.5,Angers,,Stade Gaston Gérard,Eric Wattellier,Match Report,
2,Regular season,1.0,Sat,2020-08-22,21:00,Lille,0.4,1–1,1.6,Rennes,3975.0,Stade Pierre-Mauroy,Clément Turpin,Match Report,
3,Regular season,1.0,Sun,2020-08-23,13:00,Monaco,1.8,2–2,1.7,Reims,,Stade Louis II.,François Letexier,Match Report,
4,Regular season,1.0,Sun,2020-08-23,15:00,Nîmes,1.7,4–0,0.8,Brest,,Stade des Costières,Jérémie Pignard,Match Report,
5,Regular season,1.0,Sun,2020-08-23,15:00,Lorient,2.9,3–1,0.3,Strasbourg,,Stade Yves Allainmat - Le Moustoir,Johan Hamel,Match Report,
6,Regular season,1.0,Sun,2020-08-23,17:00,Nice,0.2,2–1,3.1,Lens,,Stade de Nice,Jérôme Miguelgorry,Match Report,
7,,,,,,,,,,,,,,,
8,Regular season,2.0,Fri,2020-08-28,21:00,Lyon,4.6,4–1,0.2,Dijon,,Groupama Stadium,Benoît Millot,Match Report,
9,Regular season,2.0,Sat,2020-08-29,17:00,Rennes,1.4,2–1,0.6,Montpellier,,Roazhon Park,Willy Delajod,Match Report,
10,Regular season,2.0,Sat,2020-08-29,21:00,Strasbourg,0.3,0–2,1.3,Nice,,Stade de la Meinau,Jérôme Brisard,Match Report,
11,Regular season,2.0,Sun,2020-08-30,13:00,Reims,0.3,0–1,1.2,Lille,,Stade Auguste-Delaune II,Stéphanie Frappart,Match Report,
12,Regular season,2.0,Sun,2020-08-30,15:00,Metz,0.7,0–1,0.2,Monaco,4463.0,Stade Saint-Symphorien,Jeremy Stinat,Match Report,
13,Regular season,2.0,Sun,2020-08-30,15:00,Saint-Étienne,1.4,2–0,0.3,Lorient,,Stade Geoffroy-Guichard,Florent Batta,Match Report,
14,Regular season,2.0,Sun,2020-08-30,15:00,Nantes,1.8,2–1,1.2,Nîmes,,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
