,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
41,Regular season,4.0,Sun,2018-09-02,17:00,Rennes,2.3,2–0,0.5,Bordeaux,23817.0,Roazhon Park,Benoît Bastien,Match Report,
42,Regular season,4.0,Sun,2018-09-02,21:00,Monaco,1.4,2–3,1.8,Marseille,14269.0,Stade Louis II.,Benoît Millot,Match Report,
43,,,,,,,,,,,,,,,
44,Regular season,5.0,Fri,2018-09-14,19:00,Nice,1.4,2–1,1.1,Rennes,16887.0,Stade de Nice,Jérôme Miguelgorry,Match Report,
45,Regular season,5.0,Fri,2018-09-14,20:45,Paris S-G,2.5,4–0,1.0,Saint-Étienne,46549.0,Parc des Princes,Franck Schneider,Match Report,
46,Regular season,5.0,Sat,2018-09-15,17:00,Caen,1.9,2–2,1.6,Lyon,17676.0,Stade Michel d'Ornano,Johan Hamel,Match Report,
47,Regular season,5.0,Sat,2018-09-15,20:00,Dijon,1.2,1–3,1.4,Angers,12275.0,Stade Gaston Gérard,Hakim Ben El Hadj Salem,Match Report,
48,Regular season,5.0,Sat,2018-09-15,20:00,Toulouse,1.6,1–1,0.6,Monaco,16689.0,Stadium Municipal,Ruddy Buquet,Match Report,
49,Regular season,5.0,Sat,2018-09-15,20:00,Montpellier,0.4,1–1,0.5,Strasbourg,10630.0,Stade de la Mosson,Willy Delajod,Match Report,
50,Regular season,5.0,Sat,2018-09-15,20:00,Amiens,1.6,2–3,3.0,Lille,11569.0,Stade de la Licorne,Nicolas Rainville,Match Report,
51,Regular season,5.0,Sun,2018-09-16,15:00,Nantes,0.9,0–0,0.5,Reims,18981.0,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier,Match Report,
52,Regular season,5.0,Sun,2018-09-16,17:00,Bordeaux,1.2,3–3,1.6,Nîmes,15895.0,Stade Matmut-Atlantique,Antony Gautier,Match Report,
53,Regular season,5.0,Sun,2018-09-16,21:00,Marseille,2.1,4–0,0.2,Guingamp,50450.0,Orange Vélodrome,Amaury Delerue,Match Report,
54,,,,,,,,,,,,,,,
55,Regular season,6.0,Fri,2018-09-21,20:45,Monaco,1.7,1–1,0.6,Nîmes,6837.0,Stade Louis II.,Amaury Delerue,Match Report,
56,Regular season,6.0,Sat,2018-09-22,17:00,Lille,0.8,2–1,1.8,Nantes,27353.0,Stade Pierre-Mauroy,Benoît Bastien,Match Report,
57,Regular season,6.0,Sat,2018-09-22,20:00,Angers,0.9,0–0,0.4,Toulouse,10021.0,Stade Raymond Kopa,Florent Batta,Match Report,
58,Regular season,6.0,Sat,2018-09-22,20:00,Saint-Étienne,3.5,2–1,0.6,Caen,23895.0,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
59,Regular season,6.0,Sat,2018-09-22,20:00,Reims,0.9,0–0,0.2,Dijon,11523.0,Stade Auguste-Delaune II,Jérôme Brisard,Match Report,
60,Regular season,6.0,Sat,2018-09-22,20:00,Strasbourg,1.3,3–1,0.7,Amiens,24683.0,Stade de la Meinau,Jeremy Stinat,Match Report,
61,Regular season,6.0,Sat,2018-09-22,20:00,Montpellier,1.8,1–0,0.4,Nice,11015.0,Stade de la Mosson,Thomas Léonard,Match Report,
62,Regular season,6.0,Sun,2018-09-23,15:00,Rennes,1.3,1–3,1.6,Paris S-G,29205.0,Roazhon Park,Hakim Ben El Hadj Salem,Match Report,
63,Regular season,6.0,Sun,2018-09-23,17:00,Guingamp,1.9,1–3,1.1,Bordeaux,14772.0,Stade du Roudourou,Franck Schneider,Match Report,
64,Regular season,6.0,Sun,2018-09-23,21:00,Lyon,1.9,4–2,0.6,Marseille,57287.0,Groupama Stadium,Clément Turpin,Match Report,
65,,,,,,,,,,,,,,,
66,Regular season,7.0,Tue,2018-09-25,19:00,Monaco,0.6,0–1,0.5,Angers,5502.0,Stade Louis II.,Willy Delajod,Match Report,
67,Regular season,7.0,Tue,2018-09-25,19:00,Nantes,1.0,1–2,1.1,Nice,16604.0,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Match Report,
68,Regular season,7.0,Tue,2018-09-25,21:00,Toulouse,1.5,2–3,2.3,Saint-Étienne,14008.0,Stadium Municipal,Amaury Delerue,Match Report,
69,Regular season,7.0,Wed,2018-09-26,19:00,Amiens,0.7,2–1,2.0,Rennes,10398.0,Stade de la Licorne,Johan Hamel,Match Report,
70,Regular season,7.0,Wed,2018-09-26,19:00,Bordeaux,1.0,1–0,1.9,Lille,17395.0,Stade Matmut-Atlantique,Karim Abed,Match Report,
71,Regular season,7.0,Wed,2018-09-26,19:00,Nîmes,1.0,0–0,0.4,Guingamp,13415.0,Stade des Costières,Benoît Millot,Match Report,
