,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Ajaccio,33,30.0,45.3,28,308,2520,28.0,19,10,29,13,6,9,63,6,32.1,25.5,19.4,44.9,395,945,0.68,0.36,1.04,0.46,0.82,1.15,0.69,1.84,0.91,1.6
1,Angers,32,26.6,47.4,28,308,2520,28.0,19,12,31,16,3,3,53,5,32.0,29.6,22.3,51.9,487,1053,0.68,0.43,1.11,0.57,1.0,1.14,0.8,1.94,1.06,1.85
2,Auxerre,30,28.2,44.3,28,308,2520,28.0,21,14,35,16,5,7,43,6,29.6,24.2,19.5,43.6,406,982,0.75,0.5,1.25,0.57,1.07,1.06,0.7,1.75,0.86,1.56
3,Brest,29,27.3,44.1,28,308,2520,28.0,29,18,47,24,5,6,47,2,30.8,26.0,21.5,47.5,426,937,1.04,0.64,1.68,0.86,1.5,1.1,0.77,1.87,0.93,1.7
4,Clermont Foot,27,27.8,47.8,28,308,2520,28.0,26,16,42,24,2,4,57,2,30.7,27.6,18.6,46.2,380,956,0.93,0.57,1.5,0.86,1.43,1.1,0.66,1.76,0.99,1.65
5,Lens,28,27.0,57.0,28,308,2520,28.0,45,34,79,42,3,6,46,1,49.9,45.2,34.8,80.0,569,1479,1.61,1.21,2.82,1.5,2.71,1.78,1.24,3.02,1.62,2.86
6,Lille,25,26.7,59.3,28,308,2520,28.0,51,31,82,44,7,8,59,1,51.5,45.2,34.6,79.8,584,1425,1.82,1.11,2.93,1.57,2.68,1.84,1.24,3.08,1.61,2.85
7,Lorient,28,25.9,45.7,28,308,2520,28.0,38,26,64,35,3,4,29,2,34.9,31.7,24.1,55.8,568,1001,1.36,0.93,2.29,1.25,2.18,1.24,0.86,2.11,1.13,1.99
8,Lyon,28,26.3,58.6,28,308,2520,28.0,43,30,73,39,4,4,41,2,43.3,40.2,32.6,72.9,518,1458,1.54,1.07,2.61,1.39,2.46,1.55,1.16,2.71,1.44,2.6
9,Marseille,29,27.9,55.4,29,319,2610,29.0,49,30,79,44,5,6,51,4,49.0,44.4,34.6,79.1,562,1407,1.69,1.03,2.72,1.52,2.55,1.69,1.19,2.88,1.53,2.73
10,Monaco,27,25.4,49.0,28,308,2520,28.0,56,39,95,52,4,7,47,4,47.5,41.9,31.4,73.2,545,1349,2.0,1.39,3.39,1.86,3.25,1.7,1.12,2.82,1.5,2.62
11,Montpellier,29,26.5,46.6,29,319,2610,29.0,44,29,73,39,5,5,54,9,37.3,33.4,24.3,57.6,415,958,1.52,1.0,2.52,1.34,2.34,1.29,0.84,2.12,1.15,1.99
12,Nantes,29,27.4,45.8,28,308,2520,28.0,28,21,49,25,3,5,44,4,32.0,28.3,23.8,52.0,485,1116,1.0,0.75,1.75,0.89,1.64,1.14,0.85,1.99,1.01,1.86
13,Nice,32,27.4,51.0,28,308,2520,28.0,37,27,64,31,6,7,39,3,38.9,33.4,26.0,59.4,535,1044,1.32,0.96,2.29,1.11,2.07,1.39,0.93,2.32,1.19,2.12
14,Paris S-G,25,27.6,60.5,28,308,2520,28.0,66,50,116,62,4,6,45,3,59.7,54.8,44.5,99.3,632,1526,2.36,1.79,4.14,2.21,4.0,2.13,1.59,3.72,1.96,3.55
15,Reims,30,25.5,46.4,28,308,2520,28.0,36,27,63,31,5,6,55,8,45.6,40.8,31.8,72.6,510,1162,1.29,0.96,2.25,1.11,2.07,1.63,1.14,2.77,1.46,2.59
16,Rennes,32,25.9,55.1,28,308,2520,28.0,45,31,76,43,2,2,43,6,43.5,42.0,31.5,73.4,553,1423,1.61,1.11,2.71,1.54,2.64,1.55,1.12,2.68,1.5,2.62
17,Strasbourg,28,28.4,46.6,28,308,2520,28.0,32,17,49,30,2,4,57,5,34.6,31.1,23.3,54.4,424,1030,1.14,0.61,1.75,1.07,1.68,1.23,0.83,2.07,1.11,1.94
18,Toulouse,29,25.9,50.8,28,308,2520,28.0,42,28,70,38,4,4,45,2,39.1,35.9,27.3,63.3,474,1263,1.5,1.0,2.5,1.36,2.36,1.39,0.98,2.37,1.28,2.26
19,Troyes,30,26.6,43.1,28,308,2520,28.0,36,22,58,32,4,4,46,4,31.8,29.1,23.3,52.3,480,945,1.29,0.79,2.07,1.14,1.93,1.14,0.83,1.97,1.04,1.87
