,Rk,Squad,# Pl,Weekly Wages,Annual Wages,% Estimated
0,1,Paris S-G,108,"€ 8,321,154 (£ 6,977,357, $8,480,185)","€ 432,700,000 (£ 362,822,570, $440,969,630)",30%
1,2,Lyon,88,"€ 1,314,423 (£ 1,102,155, $1,339,544)","€ 68,350,000 (£ 57,312,045, $69,656,285)",69%
2,3,Marseille,89,"€ 1,071,346 (£ 898,333, $1,091,821)","€ 55,710,000 (£ 46,713,299, $56,774,712)",72%
3,4,Monaco,88,"€ 1,016,154 (£ 852,053, $1,035,574)","€ 52,840,000 (£ 44,306,780, $53,849,858)",77%
4,5,Nice,82,"€ 559,615 (£ 469,242, $570,311)","€ 29,100,000 (£ 24,400,594, $29,656,151)",78%
5,6,Lille,77,"€ 540,385 (£ 453,117, $550,712)","€ 28,100,000 (£ 23,562,083, $28,637,040)",75%
6,7,Bordeaux,93,"€ 532,115 (£ 446,183, $542,285)","€ 27,670,000 (£ 23,201,527, $28,198,819)",81%
7,8,Rennes,83,"€ 460,000 (£ 385,714, $468,791)","€ 23,920,000 (£ 20,057,119, $24,377,150)",81%
8,9,Saint-Étienne,91,"€ 390,962 (£ 327,825, $398,434)","€ 20,330,000 (£ 17,046,876, $20,718,543)",90%
9,10,Nantes,84,"€ 365,192 (£ 306,217, $372,172)","€ 18,990,000 (£ 15,923,278, $19,352,931)",37%
10,11,Strasbourg,77,"€ 265,962 (£ 223,011, $271,045)","€ 13,830,000 (£ 11,596,569, $14,094,315)",81%
11,12,Montpellier,75,"€ 236,923 (£ 198,662, $241,451)","€ 12,320,000 (£ 10,330,424, $12,555,455)",88%
12,13,Angers,81,"€ 233,654 (£ 195,921, $238,119)","€ 12,150,000 (£ 10,187,876, $12,382,204)",83%
13,14,Troyes,105,"€ 206,346 (£ 173,023, $210,290)","€ 10,730,000 (£ 8,997,193, $10,935,068)",91%
14,15,Reims,84,"€ 204,615 (£ 171,572, $208,526)","€ 10,640,000 (£ 8,921,728, $10,843,344)",76%
15,16,Brest,80,"€ 201,346 (£ 168,830, $205,194)","€ 10,470,000 (£ 8,779,184, $10,670,099)",86%
16,17,Metz,93,"€ 197,115 (£ 165,283, $200,883)","€ 10,250,000 (£ 8,594,711, $10,445,894)",87%
17,18,Lens,80,"€ 189,423 (£ 158,833, $193,043)","€ 9,850,000 (£ 8,259,307, $10,038,249)",96%
18,19,Lorient,85,"€ 173,269 (£ 145,288, $176,581)","€ 9,010,000 (£ 7,554,961, $9,182,194)",96%
19,20,Clermont Foot,89,"€ 92,692 (£ 77,723, $94,464)","€ 4,820,000 (£ 4,041,608, $4,912,120)",93%
