,Season,Rank,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,League
24,2017-2018,GR,NK Maribor,6.0,0.0,3.0,3.0,3.0,16.0,-13.0,3.0,4.1,16.1,-12.0,-1.99,12349.0,"Damjan Bohar, Marcos Tavares... - 1",Jasmin Handanović,UEFA
25,2017-2018,GR,Anderlecht,6.0,1.0,0.0,5.0,2.0,17.0,-15.0,3.0,5.4,14.2,-8.8,-1.47,19586.0,Sofiane Hanni - 1,"Frank Boeckx, Matz Sels",UEFA
26,2017-2018,GR,Dortmund,6.0,0.0,2.0,4.0,7.0,13.0,-6.0,2.0,9.6,9.8,-0.2,-0.04,65402.0,Pierre-Emerick Aubameyang - 4,Roman Bürki,UEFA
27,2017-2018,GR,Monaco,6.0,0.0,2.0,4.0,6.0,16.0,-10.0,2.0,5.9,9.7,-3.8,-0.63,9378.0,Radamel Falcao - 3,"Danijel Subašić, Diego Benaglio",UEFA
28,2017-2018,GR,Qarabağ FK,6.0,0.0,2.0,4.0,2.0,14.0,-12.0,2.0,2.4,14.8,-12.4,-2.06,60741.0,"Míchel, Pedro Henrique - 1",Ibrahim Šehić,UEFA
29,2017-2018,GR,APOEL FC,6.0,0.0,2.0,4.0,2.0,17.0,-15.0,2.0,3.9,16.5,-12.7,-2.11,17211.0,Mickaël Poté - 2,Nauzet Pérez,UEFA
30,2017-2018,GR,Olympiacos,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,3.4,13.8,-10.3,-1.72,30445.0,Felipe Pardo - 2,Silvio Proto,UEFA
31,2017-2018,GR,Benfica,6.0,0.0,0.0,6.0,1.0,14.0,-13.0,0.0,6.2,10.4,-4.2,-0.69,39492.0,Haris Seferović - 1,Mile Svilar,UEFA
32,2018-2019,W,Liverpool,13.0,8.0,1.0,4.0,24.0,12.0,12.0,25.0,28.3,13.9,14.4,1.11,52907.0,Mohamed Salah - 5,Alisson,UEFA
33,2018-2019,F,Tottenham,13.0,6.0,2.0,5.0,20.0,19.0,1.0,20.0,20.5,16.1,4.4,0.34,62947.0,"Harry Kane, Lucas Moura - 5",Hugo Lloris,UEFA
34,2018-2019,SF,Barcelona,12.0,8.0,3.0,1.0,26.0,10.0,16.0,27.0,23.1,14.4,8.6,0.72,86178.0,Lionel Messi - 12,Marc-André ter Stegen,UEFA
35,2018-2019,SF,Ajax,12.0,6.0,4.0,2.0,22.0,13.0,9.0,22.0,22.3,17.8,4.5,0.38,52056.0,Dušan Tadić - 6,André Onana,UEFA
36,2018-2019,QF,Manchester City,10.0,7.0,1.0,2.0,30.0,12.0,18.0,22.0,22.9,10.1,12.8,1.28,49535.0,Sergio Agüero - 6,Ederson,UEFA
37,2018-2019,QF,Porto,10.0,6.0,1.0,3.0,20.0,15.0,5.0,19.0,16.9,19.4,-2.5,-0.25,43415.0,Moussa Marega - 6,Iker Casillas,UEFA
38,2018-2019,QF,Juventus,10.0,5.0,1.0,4.0,14.0,9.0,5.0,16.0,18.9,10.1,8.8,0.88,40766.0,Cristiano Ronaldo - 6,Wojciech Szczęsny,UEFA
39,2018-2019,QF,Manchester Utd,10.0,4.0,1.0,5.0,10.0,11.0,-1.0,13.0,10.4,13.7,-3.2,-0.32,73708.0,"Romelu Lukaku, Paul Pogba... - 2",David de Gea,UEFA
40,2018-2019,R16,Atlético Madrid,8.0,5.0,1.0,2.0,11.0,9.0,2.0,16.0,8.1,9.1,-1.0,-0.12,60068.0,Antoine Griezmann - 4,Jan Oblak,UEFA
41,2018-2019,R16,Bayern Munich,8.0,4.0,3.0,1.0,16.0,8.0,8.0,15.0,14.7,9.3,5.4,0.68,69536.0,Robert Lewandowski - 8,Manuel Neuer,UEFA
42,2018-2019,R16,Real Madrid,8.0,5.0,0.0,3.0,15.0,10.0,5.0,15.0,16.9,10.8,6.1,0.76,66314.0,Karim Benzema - 4,Thibaut Courtois,UEFA
43,2018-2019,R16,Paris S-G,8.0,4.0,2.0,2.0,20.0,12.0,8.0,14.0,16.9,10.5,6.4,0.8,45144.0,Neymar - 5,Gianluigi Buffon,UEFA
44,2018-2019,R16,Dortmund,8.0,4.0,1.0,3.0,10.0,6.0,4.0,13.0,12.2,6.8,5.5,0.68,66099.0,Raphaël Guerreiro - 4,Roman Bürki,UEFA
45,2018-2019,R16,Roma,8.0,4.0,0.0,4.0,14.0,12.0,2.0,12.0,15.0,14.0,1.0,0.12,49525.0,Edin Džeko - 5,Robin Olsen,UEFA
46,2018-2019,R16,Schalke 04,8.0,3.0,2.0,3.0,8.0,14.0,-6.0,11.0,10.5,11.9,-1.4,-0.17,50949.0,Nabil Bentaleb - 3,Ralf Fährmann,UEFA
47,2018-2019,R16,Lyon,8.0,1.0,6.0,1.0,13.0,16.0,-3.0,9.0,12.3,17.2,-5.0,-0.62,41945.0,"Nabil Fekir, Maxwel Cornet - 3",Anthony Lopes,UEFA
48,2018-2019,GR,Napoli,6.0,2.0,3.0,1.0,7.0,5.0,2.0,9.0,10.9,6.5,4.4,0.73,45672.0,"Lorenzo Insigne, Dries Mertens - 3",David Ospina,UEFA
49,2018-2019,GR,Valencia,6.0,2.0,2.0,2.0,6.0,6.0,0.0,8.0,6.9,11.1,-4.2,-0.7,39697.0,"Santi Mina, Carlos Soler - 2",Neto,UEFA
50,2018-2019,GR,Inter,6.0,2.0,2.0,2.0,6.0,7.0,-1.0,8.0,8.6,7.8,0.8,0.13,65857.0,Mauro Icardi - 4,Samir Handanović,UEFA
51,2018-2019,GR,CSKA Moscow,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,6.9,11.6,-4.8,-0.79,63052.0,Nikola Vlašić - 3,Igor Akinfeev,UEFA
52,2018-2019,GR,Benfica,6.0,2.0,1.0,3.0,6.0,11.0,-5.0,7.0,6.2,10.7,-4.5,-0.75,48412.0,Álex Grimaldo - 2,Odisseas Vlachodimos,UEFA
53,2018-2019,GR,Viktoria Plzeň,6.0,2.0,1.0,3.0,7.0,16.0,-9.0,7.0,7.8,12.3,-4.5,-0.75,11337.0,Michal Krmenčík - 2,Aleš Hruška,UEFA
54,2018-2019,GR,Club Brugge,6.0,1.0,3.0,2.0,6.0,5.0,1.0,6.0,5.4,6.3,-0.9,-0.15,24928.0,"Hans Vanaken, Wesley Moraes - 2","Ethan Horvath, Karlo Letica",UEFA
55,2018-2019,GR,Shakhtar,6.0,1.0,3.0,2.0,8.0,16.0,-8.0,6.0,6.9,13.2,-6.3,-1.04,34786.0,Júnior Moraes - 3,Andriy Pyatov,UEFA
56,2018-2019,GR,Galatasaray,6.0,1.0,1.0,4.0,5.0,8.0,-3.0,4.0,9.9,9.6,0.2,0.04,41394.0,Eren Derdiyok - 2,Fernando Muslera,UEFA
57,2018-2019,GR,Young Boys,6.0,1.0,1.0,4.0,4.0,12.0,-8.0,4.0,6.5,11.5,-5.0,-0.83,30785.0,Guillaume Hoarau - 3,David von Ballmoos,UEFA
58,2018-2019,GR,Red Star,6.0,1.0,1.0,4.0,5.0,17.0,-12.0,4.0,2.9,19.4,-16.6,-2.76,49596.0,Milan Pavkov - 2,Milan Borjan,UEFA
59,2018-2019,GR,Hoffenheim,6.0,0.0,3.0,3.0,11.0,14.0,-3.0,3.0,11.1,12.3,-1.2,-0.21,23972.0,Andrej Kramarić - 5,Oliver Baumann,UEFA
60,2018-2019,GR,Loko Moscow,6.0,1.0,0.0,5.0,4.0,12.0,-8.0,3.0,6.6,9.2,-2.5,-0.42,17181.0,"Vladislav Ignatyev, Anton Miranchuk... - 1",Guilherme Marinato,UEFA
61,2018-2019,GR,PSV Eindhoven,6.0,0.0,2.0,4.0,6.0,13.0,-7.0,2.0,7.1,13.9,-6.8,-1.13,34783.0,Luuk de Jong - 3,Jeroen Zoet,UEFA
62,2018-2019,GR,Monaco,6.0,0.0,1.0,5.0,2.0,14.0,-12.0,1.0,5.1,11.0,-5.9,-0.99,9218.0,"Samuel Grandsir, Moussa Sylla - 1",Diego Benaglio,UEFA
63,2018-2019,GR,AEK Athens,6.0,0.0,0.0,6.0,2.0,13.0,-11.0,0.0,4.7,11.9,-7.2,-1.2,39377.0,Viktor Klonaridis - 2,Vasilios Barkas,UEFA
64,2019-2020,W,Bayern Munich,11.0,11.0,0.0,0.0,43.0,8.0,35.0,33.0,35.5,10.2,25.3,2.3,50000.0,Robert Lewandowski - 15,Manuel Neuer,UEFA
65,2019-2020,F,Paris S-G,11.0,8.0,1.0,2.0,25.0,6.0,19.0,25.0,26.2,12.3,13.9,1.27,28058.0,"Mauro Icardi, Kylian Mbappé - 5",Keylor Navas,UEFA
66,2019-2020,SF,RB Leipzig,10.0,6.0,2.0,2.0,16.0,12.0,4.0,20.0,18.0,13.0,5.0,0.5,32347.0,"Timo Werner, Marcel Sabitzer... - 4",Péter Gulácsi,UEFA
67,2019-2020,SF,Lyon,10.0,4.0,2.0,4.0,14.0,14.0,0.0,14.0,12.7,18.4,-5.7,-0.57,41780.0,Memphis - 6,Anthony Lopes,UEFA
68,2019-2020,QF,Manchester City,9.0,6.0,2.0,1.0,21.0,9.0,12.0,20.0,25.1,7.9,17.2,1.91,37594.0,"Raheem Sterling, Gabriel Jesus - 6",Ederson,UEFA
69,2019-2020,QF,Barcelona,9.0,5.0,3.0,1.0,15.0,14.0,1.0,18.0,14.4,17.9,-3.5,-0.39,60809.0,Luis Suárez - 5,Marc-André ter Stegen,UEFA
70,2019-2020,QF,Atlético Madrid,9.0,5.0,1.0,3.0,13.0,9.0,4.0,16.0,15.3,9.1,6.1,0.68,62232.0,"Álvaro Morata, João Félix - 3",Jan Oblak,UEFA
71,2019-2020,QF,Atalanta,9.0,4.0,1.0,4.0,17.0,18.0,-1.0,13.0,17.7,18.9,-1.2,-0.14,32770.0,Josip Iličić - 5,Pierluigi Gollini,UEFA
72,2019-2020,R16,Juventus,8.0,6.0,1.0,1.0,14.0,6.0,8.0,19.0,12.0,10.9,1.2,0.15,28390.0,Cristiano Ronaldo - 4,Wojciech Szczęsny,UEFA
73,2019-2020,R16,Napoli,8.0,3.0,4.0,1.0,13.0,8.0,5.0,13.0,14.9,11.0,3.9,0.48,34598.0,Dries Mertens - 6,Alex Meret,UEFA
74,2019-2020,R16,Liverpool,8.0,4.0,1.0,3.0,15.0,12.0,3.0,13.0,16.2,8.8,7.4,0.92,52312.0,Mohamed Salah - 4,Alisson,UEFA
75,2019-2020,R16,Dortmund,8.0,4.0,1.0,3.0,10.0,11.0,-1.0,13.0,14.4,13.1,1.4,0.17,65844.0,Achraf Hakimi - 4,Roman Bürki,UEFA
76,2019-2020,R16,Real Madrid,8.0,3.0,2.0,3.0,16.0,12.0,4.0,11.0,16.6,13.7,2.8,0.36,70438.0,Karim Benzema - 5,Thibaut Courtois,UEFA
77,2019-2020,R16,Valencia,8.0,3.0,2.0,3.0,13.0,15.0,-2.0,11.0,14.7,15.7,-1.0,-0.13,31599.0,"Rodrigo, Denis Cheryshev... - 2",Jasper Cillessen,UEFA
78,2019-2020,R16,Chelsea,8.0,3.0,2.0,3.0,12.0,16.0,-4.0,11.0,17.5,12.7,4.7,0.59,38845.0,Tammy Abraham - 3,Kepa Arrizabalaga,UEFA
79,2019-2020,R16,Tottenham,8.0,3.0,1.0,4.0,18.0,18.0,0.0,10.0,14.5,11.2,3.3,0.42,57247.0,Harry Kane - 6,"Hugo Lloris, Paulo Gazzaniga",UEFA
80,2019-2020,GR,Ajax,6.0,3.0,1.0,2.0,12.0,6.0,6.0,10.0,7.5,13.8,-6.3,-1.05,51951.0,Quincy Promes - 4,André Onana,UEFA
81,2019-2020,GR,RB Salzburg,6.0,2.0,1.0,3.0,16.0,13.0,3.0,7.0,13.7,11.9,1.8,0.3,29520.0,Erling Haaland - 8,Cican Stankovic,UEFA
82,2019-2020,GR,Inter,6.0,2.0,1.0,3.0,10.0,9.0,1.0,7.0,10.0,10.3,-0.3,-0.05,62540.0,Lautaro Martínez - 5,Samir Handanović,UEFA
83,2019-2020,GR,Benfica,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,8.1,9.4,-1.3,-0.22,46576.0,Pizzi - 3,Odisseas Vlachodimos,UEFA
84,2019-2020,GR,Zenit,6.0,2.0,1.0,3.0,7.0,9.0,-2.0,7.0,6.1,9.5,-3.3,-0.55,51106.0,"Sardar Azmoun, Artem Dzyuba - 2",Mikhail Kerzhakov,UEFA
85,2019-2020,GR,Leverkusen,6.0,2.0,0.0,4.0,5.0,9.0,-4.0,6.0,6.7,6.8,0.0,-0.01,28098.0,"Sven Bender, Kevin Volland - 1",Lukáš Hrádecký,UEFA
86,2019-2020,GR,Shakhtar,6.0,1.0,3.0,2.0,8.0,13.0,-5.0,6.0,8.3,13.1,-4.8,-0.81,28246.0,"Júnior Moraes, Manor Solomon - 2",Andriy Pyatov,UEFA
87,2019-2020,GR,Dinamo Zagreb,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,7.5,16.3,-8.8,-1.46,28855.0,Mislav Oršić - 4,Dominik Livaković,UEFA
88,2019-2020,GR,Olympiacos,6.0,1.0,1.0,4.0,8.0,14.0,-6.0,4.0,7.9,12.1,-4.3,-0.71,31523.0,Youssef El-Arabi - 3,José Sá,UEFA
89,2019-2020,GR,Loko Moscow,6.0,1.0,0.0,5.0,4.0,11.0,-7.0,3.0,6.0,13.1,-7.0,-1.17,26557.0,Aleksei Miranchuk - 2,Guilherme Marinato,UEFA
90,2019-2020,GR,Club Brugge,6.0,0.0,3.0,3.0,4.0,12.0,-8.0,3.0,7.4,10.4,-3.0,-0.51,26957.0,Emmanuel Dennis - 2,Simon Mignolet,UEFA
91,2019-2020,GR,Red Star,6.0,1.0,0.0,5.0,3.0,20.0,-17.0,3.0,4.0,19.8,-15.8,-2.64,43263.0,"Richmond Boakye, Nemanja Milunović... - 1",Milan Borjan,UEFA
92,2019-2020,GR,Slavia Prague,6.0,0.0,2.0,4.0,4.0,10.0,-6.0,2.0,9.4,12.2,-2.8,-0.46,19303.0,Tomáš Souček - 2,Ondřej Kolář,UEFA
93,2019-2020,GR,Galatasaray,6.0,0.0,2.0,4.0,1.0,14.0,-13.0,2.0,4.2,16.4,-12.2,-2.03,43306.0,Adem Büyük - 1,Fernando Muslera,UEFA
94,2019-2020,GR,Lille,6.0,0.0,1.0,5.0,4.0,14.0,-10.0,1.0,8.8,10.1,-1.3,-0.22,48208.0,Victor Osimhen - 2,Mike Maignan,UEFA
95,2019-2020,GR,Genk,6.0,0.0,1.0,5.0,5.0,20.0,-15.0,1.0,6.9,18.2,-11.3,-1.88,18957.0,Mbwana Samatta - 3,Gaëtan Coucke,UEFA
96,2020-2021,W,Chelsea,13.0,9.0,3.0,1.0,23.0,4.0,19.0,30.0,26.0,9.0,17.0,1.31,333.0,Olivier Giroud - 6,Edouard Mendy,UEFA
97,2020-2021,F,Manchester City,13.0,11.0,1.0,1.0,25.0,5.0,20.0,34.0,22.5,7.2,15.3,1.18,2016.0,"Riyad Mahrez, Ferrán Torres - 4",Ederson,UEFA
98,2020-2021,SF,Real Madrid,12.0,6.0,3.0,3.0,19.0,14.0,5.0,21.0,19.2,15.6,3.7,0.3,,Karim Benzema - 6,Thibaut Courtois,UEFA
99,2020-2021,SF,Paris S-G,12.0,6.0,1.0,5.0,22.0,15.0,7.0,19.0,21.4,18.8,2.6,0.22,,Kylian Mbappé - 8,Keylor Navas,UEFA
100,2020-2021,QF,Bayern Munich,10.0,8.0,1.0,1.0,27.0,10.0,17.0,25.0,21.8,14.0,7.8,0.78,,Robert Lewandowski - 5,Manuel Neuer,UEFA
101,2020-2021,QF,Liverpool,10.0,6.0,2.0,2.0,15.0,6.0,9.0,20.0,14.7,13.9,0.8,0.08,,Mohamed Salah - 6,Alisson,UEFA
