,Season,Rank,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,League
133,2021-2022,QF,Chelsea,10.0,7.0,1.0,2.0,21.0,10.0,11.0,22.0,19.0,11.0,8.0,0.8,39076.0,Timo Werner - 4,Edouard Mendy,UEFA
134,2021-2022,QF,Benfica,10.0,3.0,4.0,3.0,14.0,17.0,-3.0,13.0,11.8,21.4,-9.7,-0.97,47128.0,Darwin Núñez - 6,Odisseas Vlachodimos,UEFA
135,2021-2022,QF,Atlético Madrid,10.0,3.0,3.0,4.0,9.0,10.0,-1.0,12.0,12.2,13.2,-1.1,-0.11,58158.0,Antoine Griezmann - 4,Jan Oblak,UEFA
136,2021-2022,R16,Ajax,8.0,6.0,1.0,1.0,22.0,8.0,14.0,19.0,19.0,10.0,8.9,1.12,40181.0,Sébastien Haller - 11,Remko Pasveer,UEFA
137,2021-2022,R16,Juventus,8.0,5.0,1.0,2.0,11.0,10.0,1.0,16.0,13.3,10.6,2.7,0.34,21968.0,Paulo Dybala - 3,Wojciech Szczęsny,UEFA
138,2021-2022,R16,Paris S-G,8.0,4.0,2.0,2.0,15.0,11.0,4.0,14.0,15.2,13.9,1.3,0.16,44911.0,Kylian Mbappé - 6,Gianluigi Donnarumma,UEFA
139,2021-2022,R16,Inter,8.0,4.0,1.0,3.0,9.0,7.0,2.0,13.0,12.8,7.8,5.0,0.62,41133.0,Edin Džeko - 3,Samir Handanović,UEFA
140,2021-2022,R16,Manchester Utd,8.0,3.0,3.0,2.0,12.0,10.0,2.0,12.0,9.4,10.6,-1.2,-0.15,72893.0,Cristiano Ronaldo - 6,David de Gea,UEFA
141,2021-2022,R16,Lille,8.0,3.0,2.0,3.0,8.0,8.0,0.0,11.0,10.5,7.5,2.9,0.37,37824.0,"Jonathan David, Burak Yılmaz - 3",Ivo Grbić,UEFA
142,2021-2022,R16,RB Salzburg,8.0,3.0,2.0,3.0,10.0,14.0,-4.0,11.0,12.3,12.7,-0.5,-0.06,20812.0,"Karim Adeyemi, Noah Okafor - 3",Philipp Köhn,UEFA
143,2021-2022,R16,Sporting CP,8.0,3.0,1.0,4.0,14.0,17.0,-3.0,10.0,12.2,12.7,-0.5,-0.07,37672.0,Pedro Gonçalves - 4,Antonio Adán,UEFA
144,2021-2022,GR,Dortmund,6.0,3.0,0.0,3.0,10.0,11.0,-1.0,9.0,11.5,7.6,3.8,0.64,31607.0,"Marco Reus, Donyell Malen... - 3",Gregor Kobel,UEFA
145,2021-2022,GR,RB Leipzig,6.0,2.0,1.0,3.0,15.0,14.0,1.0,7.0,13.4,11.0,2.4,0.4,21098.0,Christopher Nkunku - 7,Péter Gulácsi,UEFA
146,2021-2022,GR,Sheriff Tiraspol,6.0,2.0,1.0,3.0,7.0,11.0,-4.0,7.0,4.4,12.2,-7.9,-1.32,5689.0,"Adama Traoré, Sébastien Thill - 2",Giorgos Athanasiadis,UEFA
147,2021-2022,GR,Barcelona,6.0,2.0,1.0,3.0,2.0,9.0,-7.0,7.0,6.2,9.4,-3.2,-0.53,45092.0,"Gerard Piqué, Ansu Fati - 1",Marc-André ter Stegen,UEFA
148,2021-2022,GR,Sevilla,6.0,1.0,3.0,2.0,5.0,5.0,0.0,6.0,7.2,7.8,-0.6,-0.09,25468.0,Ivan Rakitić - 2,Yassine Bounou,UEFA
149,2021-2022,GR,Atalanta,6.0,1.0,3.0,2.0,12.0,13.0,-1.0,6.0,10.2,9.1,1.1,0.18,11556.0,Duván Zapata - 3,Juan Musso,UEFA
150,2021-2022,GR,Zenit,6.0,1.0,2.0,3.0,10.0,10.0,0.0,5.0,9.8,8.0,1.9,0.31,21135.0,"Claudinho, Sardar Azmoun - 2",Stanislav Kritsyuk,UEFA
151,2021-2022,GR,Young Boys,6.0,1.0,2.0,3.0,7.0,12.0,-5.0,5.0,7.4,10.3,-3.0,-0.5,29879.0,Jordan Pefok - 2,"Guillaume Faivre, David von Ballmoos",UEFA
152,2021-2022,GR,Wolfsburg,6.0,1.0,2.0,3.0,5.0,10.0,-5.0,5.0,4.8,11.1,-6.2,-1.04,11463.0,"Lukas Nmecha, Renato Steffen - 2",Koen Casteels,UEFA
153,2021-2022,GR,Porto,6.0,1.0,2.0,3.0,4.0,11.0,-7.0,5.0,8.0,8.8,-0.8,-0.13,31493.0,Luis Díaz - 2,Diogo Costa,UEFA
154,2021-2022,GR,Milan,6.0,1.0,1.0,4.0,6.0,9.0,-3.0,4.0,5.8,10.2,-4.5,-0.74,43762.0,"Rafael Leão, Junior Messias... - 1","Mike Maignan, Ciprian Tătărușanu",UEFA
155,2021-2022,GR,Club Brugge,6.0,1.0,1.0,4.0,6.0,20.0,-14.0,4.0,6.1,19.5,-13.4,-2.23,25511.0,Hans Vanaken - 3,Simon Mignolet,UEFA
156,2021-2022,GR,Shakhtar,6.0,0.0,2.0,4.0,2.0,12.0,-10.0,2.0,6.8,10.1,-3.3,-0.55,22349.0,Fernando - 2,Anatolii Trubin,UEFA
157,2021-2022,GR,Dynamo Kyiv,6.0,0.0,1.0,5.0,1.0,11.0,-10.0,1.0,4.2,8.9,-4.8,-0.79,27256.0,Denys Harmash - 1,Heorhiy Bushchan,UEFA
158,2021-2022,GR,Malmö,6.0,0.0,1.0,5.0,1.0,14.0,-13.0,1.0,1.6,15.1,-13.5,-2.25,13634.0,Søren Rieks - 1,Johan Dahlin,UEFA
159,2021-2022,GR,Beşiktaş,6.0,0.0,0.0,6.0,3.0,19.0,-16.0,0.0,6.2,19.7,-13.5,-2.26,19031.0,"Francisco Montero, Cyle Larin... - 1",Ersin Destanoğlu,UEFA
