,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,Regular season,1.0,Fri,2017-08-04,20:45,Monaco,2.0,3–2,0.3,Toulouse,13572.0,Stade Louis II.,Clément Turpin,Match Report,
1,Regular season,1.0,Sat,2017-08-05,17:15,Paris S-G,2.6,2–0,0.3,Amiens,46898.0,Parc des Princes,Mikael Lesage,Match Report,
2,Regular season,1.0,Sat,2017-08-05,20:00,Lyon,1.8,4–0,0.5,Strasbourg,1979.0,Groupama Stadium,Ruddy Buquet,Match Report,
3,Regular season,1.0,Sat,2017-08-05,20:00,Saint-Étienne,0.9,1–0,0.5,Nice,25879.0,Stade Geoffroy-Guichard,François Letexier,Match Report,
4,Regular season,1.0,Sat,2017-08-05,20:00,Metz,0.6,1–3,1.9,Guingamp,14595.0,Stade Saint-Symphorien,Jérôme Miguelgorry,Match Report,
5,Regular season,1.0,Sat,2017-08-05,20:00,Montpellier,1.4,1–0,0.4,Caen,14725.0,Stade de la Mosson,Thomas Léonard,Match Report,
6,Regular season,1.0,Sat,2017-08-05,20:00,Troyes,1.9,1–1,2.2,Rennes,9968.0,Stade de l'Aube,Karim Abed,Match Report,
7,Regular season,1.0,Sun,2017-08-06,15:00,Lille,1.9,3–0,1.3,Nantes,30683.0,Stade Pierre-Mauroy,Benoît Millot,Match Report,
8,Regular season,1.0,Sun,2017-08-06,17:00,Angers,1.2,2–2,1.7,Bordeaux,11767.0,Stade Raymond Kopa,Sébastien Desiage,Match Report,
9,Regular season,1.0,Sun,2017-08-06,21:00,Marseille,2.1,3–0,0.6,Dijon,50904.0,Orange Vélodrome,Benoît Bastien,Match Report,
10,,,,,,,,,,,,,,,
11,Regular season,2.0,Fri,2017-08-11,19:00,Nice,2.3,1–2,0.5,Troyes,24260.0,Stade de Nice,Olivier Thual,Match Report,
12,Regular season,2.0,Fri,2017-08-11,20:45,Rennes,1.0,1–2,1.4,Lyon,24944.0,Roazhon Park,Nicolas Rainville,Match Report,
13,Regular season,2.0,Sat,2017-08-12,17:00,Nantes,1.3,0–1,1.6,Marseille,33654.0,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,Match Report,
14,Regular season,2.0,Sat,2017-08-12,20:00,Caen,0.9,0–1,1.1,Saint-Étienne,17606.0,Stade Michel d'Ornano,Stéphane Jochem,Match Report,
15,Regular season,2.0,Sat,2017-08-12,20:00,Toulouse,1.5,1–0,0.7,Montpellier,11876.0,Stadium Municipal,Ruddy Buquet,Match Report,
16,Regular season,2.0,Sat,2017-08-12,20:00,Bordeaux,2.0,2–0,0.3,Metz,22095.0,Stade Matmut-Atlantique,Mikael Lesage,Match Report,
17,Regular season,2.0,Sat,2017-08-12,20:00,Amiens,0.9,0–2,1.4,Angers,7772.0,Stade de la Licorne,Hakim Ben El Hadj Salem,Match Report,
