,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Paris S-G,38,26,8,4,90,36,54,86,2.26,76.7,39.8,36.9,0.97,41589,Kylian Mbappé - 28,Keylor Navas,→ Europa League via league finish
1,2,Marseille,38,21,8,9,63,38,25,71,1.87,58.2,39.0,19.2,0.51,51755,Dimitri Payet - 12,Pau López,→ Europa Conference League via league finish
2,3,Monaco,38,20,9,9,65,40,25,69,1.82,59.3,40.3,19.0,0.5,5877,Wissam Ben Yedder - 25,Alexander Nübel,
3,4,Rennes,38,20,6,12,82,40,42,66,1.74,62.8,42.9,19.8,0.52,25493,Martin Terrier - 21,Alfred Gomis,
4,5,Nice,38,20,7,11,52,36,16,66,1.74,55.6,42.5,13.1,0.35,16055,Andy Delort - 16,Walter Benítez,1-point deduction 1
5,6,Strasbourg,38,17,12,9,60,43,17,63,1.66,55.6,43.5,12.1,0.32,23555,Ludovic Ajorque - 12,Matz Sels,
6,7,Lens,38,17,11,10,62,48,14,62,1.63,50.2,42.7,7.5,0.2,28950,Arnaud Kalimuendo - 12,Jean-Louis Leca,
7,8,Lyon,38,17,11,10,66,51,15,61,1.61,66.9,54.6,12.4,0.33,32329,Moussa Dembélé - 21,Anthony Lopes,1-point deduction 2
8,9,Nantes,38,15,10,13,55,48,7,55,1.45,45.5,52.7,-7.2,-0.19,20803,Randal Kolo Muani - 12,Alban Lafont,→ Europa League via cup win
9,10,Lille,38,14,13,11,48,48,0,55,1.45,50.5,39.9,10.6,0.28,34346,Jonathan David - 15,Ivo Grbić,
10,11,Brest,38,13,9,16,49,57,-8,48,1.26,43.4,56.3,-12.8,-0.34,11804,Franck Honorat - 11,Marco Bizot,
11,12,Reims,38,11,13,14,43,44,-1,46,1.21,37.7,46.4,-8.7,-0.23,11071,Hugo Ekitike - 10,Predrag Rajković,
12,13,Montpellier,38,12,7,19,49,61,-12,43,1.13,42.7,57.1,-14.4,-0.38,10711,Sepe Elye Wahi - 10,Jonas Omlin,
13,14,Angers,38,10,11,17,44,55,-11,41,1.08,46.5,50.0,-3.6,-0.09,7758,Sofiane Boufal - 8,Danijel Petković,
14,15,Troyes,38,9,11,18,37,53,-16,38,1.0,39.2,50.8,-11.5,-0.3,9491,"Xavier Chavalerin, Ike Ugbo - 5",Gauthier Gallon,
15,16,Lorient,38,8,12,18,35,63,-28,36,0.95,41.3,50.5,-9.2,-0.24,12738,Terem Moffi - 8,Paul Nardi,
16,17,Clermont Foot,38,9,9,20,38,69,-31,36,0.95,44.4,52.4,-8.0,-0.21,10569,Mohamed Lamine Bayo - 14,Ouparine Djoco,
17,18,Saint-Étienne,38,7,11,20,42,77,-35,32,0.84,38.3,58.2,-19.9,-0.52,21806,Wahbi Khazri - 10,Paul Bernardoni,→ French 1/2 Relegation/Promotion Playoff
18,19,Metz,38,6,13,19,35,69,-34,31,0.82,29.2,62.5,-33.4,-0.88,14876,Nicolas de Préville - 5,Alexandre Oukidja,Relegated
19,20,Bordeaux,38,6,13,19,52,91,-39,31,0.82,44.9,66.8,-21.9,-0.58,22141,Hwang Ui-jo - 11,Benoît Costil,Relegated 3
